LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.400, Time: 5.920262 s
         1506050 function calls (1488991 primitive calls) in 16.236 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       73    0.000    0.000    0.143    0.002 __init__.py:226(compile)
      224    0.004    0.000    0.141    0.001 _parser.py:969(parse)
        1    0.000    0.000    0.138    0.138 pathlib.py:1(<module>)
      410    0.137    0.000    0.137    0.000 {built-in method _io.open_code}
        1    0.000    0.000    0.136    0.136 testing.py:1(<module>)
  509/224    0.009    0.000    0.135    0.001 _parser.py:452(_parse_sub)
      451    0.003    0.000    0.131    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      692    0.039    0.000    0.131    0.000 inspect.py:2397(_signature_from_function)
        1    0.000    0.000    0.130    0.130 axis.py:1(<module>)
  588/248    0.049    0.000    0.130    0.001 _parser.py:512(_parse)
      485    0.003    0.000    0.130    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
  313/200    0.003    0.000    0.130    0.001 typing.py:392(inner)
        1    0.000    0.000    0.128    0.128 geo.py:1(<module>)
        1    0.000    0.000    0.122    0.122 texmanager.py:1(<module>)
        1    0.000    0.000    0.115    0.115 __init__.py:245(_check_versions)
        1    0.000    0.000    0.111    0.111 offsetbox.py:1(<module>)
        1    0.000    0.000    0.108    0.108 hashlib.py:1(<module>)
        1    0.000    0.000    0.104    0.104 art3d.py:1(<module>)
       94    0.006    0.000    0.104    0.001 __init__.py:1450(_preprocess_data)
        1    0.000    0.000    0.104    0.104 category.py:1(<module>)
        1    0.000    0.000    0.102    0.102 contour.py:1(<module>)
     6870    0.063    0.000    0.102    0.000 inspect.py:2743(__init__)
      456    0.004    0.000    0.098    0.000 artist.py:1530(number_of_parameters)
    10233    0.097    0.000    0.097    0.000 {method 'search' of 're.Pattern' objects}
      224    0.003    0.000    0.096    0.000 _compiler.py:578(_code)
      456    0.096    0.000    0.096    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.086    0.086 font_manager.py:1(<module>)
        7    0.000    0.000    0.085    0.012 __init__.py:73(import_module)
        7    0.000    0.000    0.085    0.012 <frozen importlib._bootstrap>:1375(_gcd_import)
        1    0.000    0.000    0.085    0.085 shutil.py:1(<module>)
        1    0.000    0.000    0.083    0.083 _parser.py:1(<module>)
        1    0.000    0.000    0.083    0.083 common.py:1(<module>)
        1    0.002    0.002    0.082    0.082 common.py:11(pyparsing_common)
    73332    0.079    0.000    0.081    0.000 {built-in method builtins.getattr}
    72235    0.063    0.000    0.081    0.000 {built-in method builtins.isinstance}
16889/16855    0.031    0.000    0.081    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.080    0.080 scale.py:1(<module>)
172649/171368    0.078    0.000    0.080    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.077    0.077 lines.py:1(<module>)
 1208/224    0.024    0.000    0.071    0.000 _compiler.py:37(_compile)
3203/2724    0.026    0.000    0.070    0.000 {built-in method __new__ of type object at 0x56482b54cae0}
    98437    0.070    0.000    0.070    0.000 {method 'startswith' of 'str' objects}
    89210    0.069    0.000    0.069    0.000 {method 'lstrip' of 'str' objects}
      426    0.004    0.000    0.069    0.000 rcsetup.py:332(validate_color)
        1    0.000    0.000    0.068    0.068 subprocess.py:1(<module>)
        1    0.003    0.003    0.068    0.068 helpers.py:1(<module>)
       15    0.001    0.000    0.068    0.005 core.py:686(set_parse_action)
       21    0.000    0.000    0.067    0.003 core.py:264(_trim_arity)
        1    0.000    0.000    0.067    0.067 traceback.py:221(extract_stack)
        1    0.000    0.000    0.066    0.066 traceback.py:377(extract)
        1    0.000    0.000    0.066    0.066 traceback.py:399(_extract_from_extended_frame_gen)
        4    0.000    0.000    0.066    0.016 traceback.py:318(line)
        2    0.000    0.000    0.066    0.033 linecache.py:26(getline)
        2    0.000    0.000    0.066    0.033 linecache.py:36(getlines)
        1    0.000    0.000    0.065    0.065 linecache.py:83(updatecache)
     4409    0.027    0.000    0.065    0.000 artist.py:1549(aliased_name)
      200    0.002    0.000    0.063    0.000 pyplot.py:175(_copy_docstring_and_deprecators)
       41    0.006    0.000    0.063    0.002 enum.py:528(__new__)
      429    0.003    0.000    0.063    0.000 colors.py:224(is_color_like)
        1    0.000    0.000    0.060    0.060 ticker.py:1(<module>)
        1    0.000    0.000    0.059    0.059 tempfile.py:1(<module>)
16443/16440    0.050    0.000    0.059    0.000 {method 'join' of 'str' objects}
      984    0.003    0.000    0.059    0.000 artist.py:1536(is_alias)
    85/30    0.002    0.000    0.058    0.002 typing.py:1294(__getitem__)
      462    0.004    0.000    0.058    0.000 colors.py:278(to_rgba)
        1    0.000    0.000    0.057    0.057 quiver.py:1(<module>)
        1    0.000    0.000    0.056    0.056 polar.py:1(<module>)
        1    0.000    0.000    0.056    0.056 _npyio_impl.py:1(<module>)
       19    0.002    0.000    0.055    0.003 rcsetup.py:814(validate_cycler)
       51    0.043    0.001    0.054    0.001 _linalg.py:1383(eig)
      642    0.017    0.000    0.054    0.000 <frozen importlib._bootstrap>:304(acquire)
        1    0.003    0.003    0.054    0.054 _array_like.py:1(<module>)
        1    0.000    0.000    0.053    0.053 _pickle.py:1(<module>)
    63665    0.053    0.000    0.053    0.000 {built-in method builtins.min}
        1    0.001    0.001    0.053    0.053 _dtype_like.py:1(<module>)
        1    0.000    0.000    0.052    0.052 _machar.py:1(<module>)
      186    0.006    0.000    0.052    0.000 colors.py:325(_to_rgba_no_colorcycle)
        1    0.000    0.000    0.052    0.052 cm.py:1(<module>)
      959    0.037    0.000    0.051    0.000 inspect.py:3029(__init__)
      363    0.003    0.000    0.050    0.000 <frozen importlib._bootstrap>:416(__enter__)
        1    0.001    0.001    0.049    0.049 random.py:1(<module>)
    94/89    0.000    0.000    0.049    0.001 typing.py:515(__getitem__)
        1    0.001    0.001    0.049    0.049 ExifTags.py:1(<module>)
       48    0.002    0.000    0.048    0.001 __init__.py:1406(_add_data_doc)
        1    0.000    0.000    0.048    0.048 fractions.py:1(<module>)
       89    0.003    0.000    0.048    0.001 typing.py:694(Union)
      229    0.006    0.000    0.047    0.000 typing.py:1269(__init__)
