LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.400, Time: 5.920262 s
         1506050 function calls (1488991 primitive calls) in 16.236 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       32    0.000    0.000    0.002    0.000 functools.py:521(decorating_function)
      151    0.001    0.000    0.002    0.000 TiffTags.py:35(__new__)
       51    0.001    0.000    0.002    0.000 fromnumeric.py:89(_wrapreduction_any_all)
      548    0.001    0.000    0.002    0.000 rcsetup.py:191(validator)
       31    0.000    0.000    0.002    0.000 ipaddress.py:1286(__init__)
      322    0.001    0.000    0.002    0.000 rcsetup.py:893(_convert_validator_spec)
        5    0.000    0.000    0.002    0.000 typing.py:1476(__getitem__)
        1    0.001    0.001    0.002    0.002 _type_aliases.py:1(<module>)
        1    0.000    0.000    0.002    0.002 numbers.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _exceptions.py:1(<module>)
       19    0.000    0.000    0.002    0.000 __init__.py:546(_cycler)
       12    0.000    0.000    0.002    0.000 typing.py:1485(copy_with)
     1304    0.002    0.000    0.002    0.000 {built-in method _thread.get_ident}
       78    0.000    0.000    0.002    0.000 core.py:4649(<genexpr>)
        7    0.000    0.000    0.002    0.000 core.py:1654(__radd__)
        1    0.000    0.000    0.002    0.002 _base.py:549(_AxesBase)
        1    0.001    0.001    0.002    0.002 lines.py:230(Line2D)
       54    0.001    0.000    0.002    0.000 pathlib.py:1157(__init__)
        1    0.000    0.000    0.001    0.001 isoparser.py:42(isoparser)
        1    0.000    0.000    0.001    0.001 _mathtext_data.py:1(<module>)
        1    0.001    0.001    0.001    0.001 legend.py:342(Legend)
        1    0.000    0.000    0.001    0.001 _cm_bivar.py:1(<module>)
       63    0.001    0.000    0.001    0.000 inspect.py:3300(__str__)
      685    0.001    0.000    0.001    0.000 enum.py:202(__get__)
      359    0.001    0.000    0.001    0.000 {built-in method _imp.find_frozen}
       21    0.001    0.000    0.001    0.000 artist.py:23(_prevent_rasterization)
       44    0.000    0.000    0.001    0.000 results.py:669(copy)
      195    0.000    0.000    0.001    0.000 inspect.py:2030(_signature_get_user_defined_method)
       13    0.000    0.000    0.001    0.000 typing.py:1542(copy_with)
        5    0.000    0.000    0.001    0.000 version.py:133(__lt__)
      642    0.001    0.000    0.001    0.000 {built-in method _weakref._remove_dead_weakref}
      133    0.001    0.000    0.001    0.000 core.py:1965(set_whitespace_chars)
       25    0.000    0.000    0.001    0.000 dtypes.py:30(_add_dtype_helper)
      807    0.001    0.000    0.001    0.000 __init__.py:701(_get)
       22    0.001    0.000    0.001    0.000 __init__.py:147(check_shape)
       11    0.000    0.000    0.001    0.000 core.py:1911(__call__)
      648    0.001    0.000    0.001    0.000 {method 'remove' of 'list' objects}
       19    0.001    0.000    0.001    0.000 __init__.py:226(_from_iter)
       10    0.000    0.000    0.001    0.000 version.py:94(parse)
       85    0.001    0.000    0.001    0.000 pathlib.py:437(__str__)
      892    0.001    0.000    0.001    0.000 _parser.py:83(groups)
        1    0.000    0.000    0.001    0.001 mixins.py:1(<module>)
       16    0.000    0.000    0.001    0.000 {built-in method _abc._abc_register}
     1190    0.001    0.000    0.001    0.000 {built-in method builtins.id}
        1    0.001    0.001    0.001    0.001 _cm_listed.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _histograms_impl.py:1(<module>)
      649    0.001    0.000    0.001    0.000 inspect.py:302(isclass)
       22    0.000    0.000    0.001    0.000 ipaddress.py:1187(_ip_int_from_string)
      224    0.001    0.000    0.001    0.000 {built-in method _sre.compile}
        1    0.001    0.001    0.001    0.001 suite.py:1(<module>)
        1    0.000    0.000    0.001    0.001 hatch.py:1(<module>)
       54    0.001    0.000    0.001    0.000 _ufunc_config.py:448(__enter__)
     1167    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.001    0.001 gzip.py:1(<module>)
       10    0.000    0.000    0.001    0.000 version.py:407(_key)
        1    0.000    0.000    0.001    0.001 pathlib.py:81(_make_selector)
       66    0.000    0.000    0.001    0.000 inspect.py:2124(_signature_bound_method)
        1    0.000    0.000    0.001    0.001 ExifTags.py:305(GPS)
        1    0.000    0.000    0.001    0.001 unicode.py:123(pyparsing_unicode)
        1    0.000    0.000    0.001    0.001 hmac.py:1(<module>)
       10    0.001    0.000    0.001    0.000 version.py:348(__init__)
       33    0.001    0.000    0.001    0.000 enum.py:1034(_find_new_)
       35    0.001    0.000    0.001    0.000 ipaddress.py:1651(_ip_int_from_string)
       51    0.001    0.000    0.001    0.000 _linalg.py:207(_commonType)
    154/1    0.000    0.000    0.001    0.001 _mathtext_data.py:1722(_normalize_stix_fontcodes)
        1    0.000    0.000    0.001    0.001 pathlib.py:193(__init__)
      448    0.001    0.000    0.001    0.000 _compiler.py:575(isstring)
      157    0.001    0.000    0.001    0.000 {built-in method numpy.zeros}
      655    0.001    0.000    0.001    0.000 _parser.py:172(__setitem__)
      149    0.001    0.000    0.001    0.000 _parser.py:893(_parse_flags)
  710/575    0.001    0.000    0.001    0.000 {built-in method builtins.hash}
        1    0.000    0.000    0.001    0.001 collections.py:28(Collection)
        1    0.000    0.000    0.001    0.001 _adapters.py:40(CompatibilityFiles)
       12    0.000    0.000    0.001    0.000 typing.py:1874(__init__)
        1    0.000    0.000    0.001    0.001 _nested_sequence.py:1(<module>)
        2    0.000    0.000    0.001    0.001 pathlib.py:1228(resolve)
        1    0.000    0.000    0.001    0.001 mixins.py:59(NDArrayOperatorsMixin)
       10    0.001    0.000    0.001    0.000 version.py:734(_cmpkey)
        1    0.000    0.000    0.001    0.001 pathlib.py:106(_compile_pattern)
      685    0.001    0.000    0.001    0.000 typing.py:1279(__eq__)
       30    0.000    0.000    0.001    0.000 rcsetup.py:63(__init__)
        1    0.000    0.000    0.001    0.001 gridspec.py:1(<module>)
       51    0.000    0.000    0.001    0.000 {method 'max' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.001    0.001 _parser.py:58(_timelex)
       65    0.001    0.000    0.001    0.000 results.py:533(__iadd__)
       10    0.000    0.000    0.001    0.000 extras.py:268(__init__)
       51    0.001    0.000    0.001    0.000 shape_base.py:80(atleast_2d)
      488    0.001    0.000    0.001    0.000 colors.py:358(<genexpr>)
        1    0.000    0.000    0.001    0.001 backend_bases.py:677(GraphicsContextBase)
        8    0.000    0.000    0.001    0.000 core.py:655(_setResultsName)
        1    0.000    0.000    0.001    0.001 legend_handler.py:1(<module>)
       10    0.000    0.000    0.001    0.000 extras.py:273(getdoc)
       19    0.001    0.000    0.001    0.000 __init__.py:416(by_key)
       21    0.000    0.000    0.001    0.000 <frozen os>:709(__getitem__)
        1    0.000    0.000    0.001    0.001 _stride_tricks_impl.py:1(<module>)
        4    0.000    0.000    0.001    0.000 functools.py:855(register)
      195    0.001    0.000    0.001    0.000 _compiler.py:472(_get_charset_prefix)
       35    0.000    0.000    0.001    0.000 <frozen posixpath>:256(expanduser)
      845    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
       44    0.000    0.000    0.001    0.000 core.py:3543(_generateDefaultName)
     1736    0.001    0.000    0.001    0.000 typing.py:781(<genexpr>)
      945    0.001    0.000    0.001    0.000 {method '__subclasses__' of 'type' objects}
       12    0.000    0.000    0.001    0.000 functools.py:654(cache)
       47    0.000    0.000    0.001    0.000 functools.py:482(lru_cache)
       44    0.000    0.000    0.001    0.000 core.py:4557(<genexpr>)
        2    0.000    0.000    0.001    0.000 <frozen posixpath>:423(realpath)
      122    0.001    0.000    0.001    0.000 <frozen posixpath>:71(join)
        9    0.001    0.000    0.001    0.000 typing.py:1753(_get_protocol_attrs)
       29    0.000    0.000    0.001    0.000 pathlib.py:618(stem)
        1    0.000    0.000    0.001    0.001 testing.py:19(pyparsing_test)
      509    0.001    0.000    0.001    0.000 _inspect.py:13(ismethod)
        1    0.000    0.000    0.001    0.001 _triinterpolate.py:578(_ReducedHCT_Element)
       13    0.001    0.000    0.001    0.000 typing.py:1123(_generic_init_subclass)
        1    0.000    0.000    0.001    0.001 _docstring.py:1(<module>)
        1    0.000    0.000    0.001    0.001 core.py:5824(__init__)
        1    0.000    0.000    0.001    0.001 bezier.py:1(<module>)
      183    0.000    0.000    0.001    0.000 textwrap.py:482(prefixed_lines)
        1    0.000    0.000    0.001    0.001 offsetbox.py:1213(AnnotationBbox)
        1    0.000    0.000    0.001    0.001 _add_newdocs_scalars.py:1(<module>)
       13    0.000    0.000    0.001    0.000 mixins.py:44(_numeric_methods)
        1    0.000    0.000    0.001    0.001 _iotools.py:1(<module>)
       28    0.001    0.000    0.001    0.000 __init__.py:1428(_fixupParents)
       44    0.000    0.000    0.001    0.000 pathlib.py:447(__fspath__)
       88    0.001    0.000    0.001    0.000 ipaddress.py:1213(_parse_octet)
      363    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:599(__init__)
       51    0.000    0.000    0.001    0.000 shape_base.py:216(_vhstack_dispatcher)
       19    0.000    0.000    0.001    0.000 pathlib.py:407(_load_parts)
        7    0.000    0.000    0.001    0.000 core.py:6671(__add__)
       98    0.001    0.000    0.001    0.000 {built-in method builtins.locals}
        8    0.000    0.000    0.001    0.000 <frozen _collections_abc>:811(__contains__)
       29    0.001    0.000    0.001    0.000 __init__.py:1497(__init__)
        4    0.000    0.000    0.001    0.000 colors.py:2630(Norm)
        1    0.000    0.000    0.001    0.001 _parser.py:569(__init__)
       48    0.000    0.000    0.001    0.000 pathlib.py:551(drive)
       51    0.000    0.000    0.001    0.000 _methods.py:41(_amax)
       36    0.000    0.000    0.001    0.000 {method '__typing_subst__' of 'typing.TypeVar' objects}
      344    0.000    0.000    0.001    0.000 typing.py:1592(__eq__)
       54    0.001    0.000    0.001    0.000 pathlib.py:358(__init__)
        1    0.000    0.000    0.001    0.001 patches.py:3167(ArrowStyle)
      509    0.001    0.000    0.001    0.000 _inspect.py:26(isfunction)
        1    0.000    0.000    0.001    0.001 _parser.py:294(__init__)
      224    0.001    0.000    0.001    0.000 _parser.py:953(fix_flags)
        1    0.000    0.000    0.001    0.001 _nbit_base.py:1(<module>)
        1    0.001    0.001    0.001    0.001 registry.py:15(BackendRegistry)
      367    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
       50    0.000    0.000    0.001    0.000 getlimits.py:103(_float_conv)
        1    0.000    0.000    0.001    0.001 backend_bases.py:1008(TimerBase)
        1    0.000    0.000    0.001    0.001 threading.py:1441(__init__)
        2    0.000    0.000    0.001    0.000 offsetbox.py:45(_compat_get_offset)
        1    0.000    0.000    0.001    0.001 _enums.py:109(CapStyle)
       46    0.000    0.000    0.001    0.000 typing.py:1569(<genexpr>)
        1    0.000    0.000    0.001    0.001 core.py:6131(Forward)
      642    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:158(__init__)
       56    0.000    0.000    0.001    0.000 ipaddress.py:533(_split_addr_prefix)
      790    0.001    0.000    0.001    0.000 {built-in method sys.getrecursionlimit}
        1    0.000    0.000    0.001    0.001 core.py:5451(__init__)
      552    0.001    0.000    0.001    0.000 util.py:500(deprecate_argument)
      220    0.001    0.000    0.001    0.000 __init__.py:429(<genexpr>)
      130    0.000    0.000    0.001    0.000 inspect.py:1845(getattr_static)
       27    0.001    0.000    0.001    0.000 <frozen os>:791(encode)
        1    0.000    0.000    0.001    0.001 core.py:4281(ParseExpression)
       78    0.000    0.000    0.001    0.000 util.py:116(set_)
      335    0.001    0.000    0.001    0.000 {built-in method numpy._core._multiarray_umath.add_docstring}
        1    0.000    0.000    0.001    0.001 _endian.py:1(<module>)
       18    0.000    0.000    0.001    0.000 core.py:1048(__init__)
        5    0.000    0.000    0.001    0.000 textwrap.py:419(dedent)
      246    0.000    0.000    0.001    0.000 shape_base.py:208(_arrays_for_stack_dispatcher)
        1    0.000    0.000    0.001    0.001 container.py:1(<module>)
       42    0.000    0.000    0.001    0.000 _parser.py:274(getuntil)
        2    0.000    0.000    0.001    0.000 <frozen posixpath>:432(_joinrealpath)
        2    0.000    0.000    0.001    0.000 dataclasses.py:638(_frozen_get_del_attr)
        1    0.000    0.000    0.001    0.001 patches.py:4135(FancyArrowPatch)
      544    0.000    0.000    0.001    0.000 typing.py:962(__eq__)
      690    0.000    0.000    0.001    0.000 _mathtext_data.py:1724(<genexpr>)
        1    0.000    0.000    0.001    0.001 offsetbox.py:907(AnchoredOffsetbox)
        1    0.000    0.000    0.001    0.001 ExifTags.py:361(LightSource)
        2    0.000    0.000    0.001    0.000 deprecation.py:314(delete_parameter)
        1    0.000    0.000    0.001    0.001 backend_tools.py:29(Cursors)
      229    0.001    0.000    0.001    0.000 transforms.py:1336(<genexpr>)
        1    0.000    0.000    0.001    0.001 patches.py:27(Patch)
        7    0.001    0.000    0.001    0.000 _parser.py:309(_convert)
        1    0.000    0.000    0.001    0.001 exceptions.py:33(ParseBaseException)
        1    0.000    0.000    0.001    0.001 figure.py:2424(Figure)
        1    0.000    0.000    0.001    0.001 function_base.py:1(<module>)
      356    0.001    0.000    0.001    0.000 inspect.py:306(ismethod)
        1    0.000    0.000    0.001    0.001 text.py:80(Text)
       35    0.000    0.000    0.001    0.000 ipaddress.py:1631(_make_netmask)
        1    0.000    0.000    0.001    0.001 _parser.py:1371(_tzparser)
       33    0.000    0.000    0.001    0.000 contextlib.py:299(helper)
        1    0.000    0.000    0.001    0.001 artist.py:1407(ArtistInspector)
        1    0.000    0.000    0.001    0.001 __init__.py:845(copy)
        1    0.000    0.000    0.001    0.001 arrayprint.py:1(<module>)
      321    0.001    0.000    0.001    0.000 {built-in method sys.intern}
     1890    0.001    0.000    0.001    0.000 __init__.py:887(<lambda>)
        1    0.000    0.000    0.001    0.001 typing.py:738(_make_union)
      243    0.000    0.000    0.001    0.000 inspect.py:2830(__str__)
        1    0.000    0.000    0.001    0.001 rcsetup.py:36(__getattr__)
       59    0.000    0.000    0.001    0.000 core.py:2139(set_name)
      310    0.000    0.000    0.001    0.000 function_base.py:473(_add_docstring)
        9    0.000    0.000    0.001    0.000 getlimits.py:494(__new__)
       30    0.000    0.000    0.001    0.000 pathlib.py:583(name)
        6    0.000    0.000    0.001    0.000 __init__.py:317(_logged_cached)
        3    0.000    0.000    0.001    0.000 pathlib.py:1197(home)
        2    0.000    0.000    0.001    0.000 _ufunc_config.py:467(__call__)
        1    0.000    0.000    0.001    0.001 cbook.py:597(_get_data_path)
       10    0.000    0.000    0.001    0.000 typing.py:1481(<genexpr>)
        1    0.000    0.000    0.001    0.001 __init__.py:582(get_cachedir)
      608    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
        1    0.000    0.000    0.001    0.001 transforms.py:209(BboxBase)
       24    0.000    0.000    0.001    0.000 pathlib.py:387(_parse_path)
        8    0.000    0.000    0.001    0.000 pathlib.py:835(stat)
      229    0.000    0.000    0.001    0.000 transforms.py:1330(<genexpr>)
       49    0.000    0.000    0.001    0.000 core.py:137(get_object_signature)
      180    0.000    0.000    0.001    0.000 cm.py:94(__getitem__)
        1    0.000    0.000    0.001    0.001 unicode.py:85(identchars)
        6    0.000    0.000    0.001    0.000 pathlib.py:870(is_dir)
        2    0.000    0.000    0.001    0.000 pathlib.py:164(select_from)
       29    0.000    0.000    0.001    0.000 cbook.py:1347(_to_unmasked_float_array)
       42    0.000    0.000    0.001    0.000 numeric.py:171(ones)
       19    0.000    0.000    0.001    0.000 __init__.py:150(__init__)
        1    0.001    0.001    0.001    0.001 Image.py:516(Image)
        1    0.000    0.000    0.001    0.001 helpers.py:176(one_of)
        1    0.000    0.000    0.001    0.001 __init__.py:503(_get_xdg_config_dir)
        1    0.000    0.000    0.001    0.001 _distributor_init.py:1(<module>)
        1    0.000    0.000    0.001    0.001 units.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __future__.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ExifTags.py:352(IFD)
        1    0.000    0.000    0.001    0.001 results.py:1(<module>)
       26    0.000    0.000    0.001    0.000 core.py:7065(__init__)
        1    0.000    0.000    0.001    0.001 streamplot.py:1(<module>)
       22    0.000    0.000    0.001    0.000 core.py:1133(reset_cache)
      157    0.001    0.000    0.001    0.000 rcsetup.py:70(func)
        1    0.001    0.001    0.001    0.001 ipaddress.py:1139(_BaseV4)
        1    0.000    0.000    0.001    0.001 deprecation.py:1(<module>)
      446    0.001    0.000    0.001    0.000 {built-in method builtins.repr}
      102    0.001    0.000    0.001    0.000 exceptions.py:52(__init__)
        1    0.000    0.000    0.001    0.001 abc.py:62(Traversable)
        4    0.000    0.000    0.001    0.000 getlimits.py:550(_init)
      184    0.000    0.000    0.001    0.000 colors.py:998(copy)
       89    0.000    0.000    0.001    0.000 _parser.py:312(_class_escape)
       83    0.001    0.000    0.001    0.000 {built-in method numpy.asarray}
        1    0.000    0.000    0.001    0.001 shape_base.py:1(<module>)
       19    0.000    0.000    0.001    0.000 path.py:202(_update_values)
       26    0.000    0.000    0.001    0.000 core.py:7071(getdoc)
        1    0.000    0.000    0.001    0.001 threading.py:884(__init__)
       78    0.000    0.000    0.001    0.000 util.py:113(get)
      265    0.001    0.000    0.001    0.000 overrides.py:107(array_function_dispatch)
        1    0.000    0.000    0.001    0.001 _parser.py:1373(_result)
        3    0.000    0.000    0.001    0.000 __init__.py:36(__deprecate_private_class)
      807    0.001    0.000    0.001    0.000 {function RcParams.__getitem__ at 0x72ff7d88c400}
     1359    0.001    0.000    0.001    0.000 inspect.py:3089(parameters)
        1    0.000    0.000    0.001    0.001 fractions.py:162(Fraction)
      130    0.000    0.000    0.001    0.000 inspect.py:1806(_check_class)
        1    0.000    0.000    0.001    0.001 geo.py:416(LambertAxes)
      109    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:731(_validate_hash_pyc)
        3    0.000    0.000    0.001    0.000 core.py:1799(__xor__)
        1    0.001    0.001    0.001    0.001 __init__.py:1358(__init__)
       51    0.000    0.000    0.001    0.000 _linalg.py:182(_makearray)
        1    0.000    0.000    0.001    0.001 _scalars.py:1(<module>)
        1    0.000    0.000    0.001    0.001 unicode.py:99(identbodychars)
      234    0.001    0.000    0.001    0.000 {method 'values' of 'mappingproxy' objects}
        3    0.000    0.000    0.001    0.000 pathlib.py:1398(expanduser)
      490    0.000    0.000    0.001    0.000 _inspect.py:41(iscode)
       33    0.001    0.000    0.001    0.000 enum.py:383(__init__)
        1    0.001    0.001    0.001    0.001 scale.py:325(FuncScaleLog)
       33    0.000    0.000    0.001    0.000 enum.py:956(_check_for_existing_members_)
      699    0.001    0.000    0.001    0.000 {built-in method numpy.asanyarray}
      184    0.000    0.000    0.001    0.000 colors.py:815(__copy__)
        8    0.000    0.000    0.001    0.000 enum.py:1550(__or__)
       44    0.001    0.000    0.001    0.000 core.py:3288(initChars)
       23    0.000    0.000    0.001    0.000 overrides.py:179(decorator)
        3    0.001    0.000    0.001    0.000 traceback.py:391(extended_frame_gen)
       12    0.000    0.000    0.001    0.000 dataclasses.py:760(_get_field)
        1    0.000    0.000    0.001    0.001 __init__.py:593(get_data_path)
        1    0.000    0.000    0.001    0.001 _enums.py:17(JoinStyle)
       14    0.001    0.000    0.001    0.000 mixins.py:26(_reflected_binary_method)
        1    0.001    0.001    0.001    0.001 shlex.py:19(shlex)
      163    0.000    0.000    0.001    0.000 rcsetup.py:151(validate_bool)
        1    0.000    0.000    0.001    0.001 __init__.py:893(hugepage_setup)
        3    0.000    0.000    0.001    0.000 core.py:4678(__init__)
        1    0.000    0.000    0.001    0.001 transforms.py:83(TransformNode)
        1    0.000    0.000    0.001    0.001 axis.py:2369(XAxis)
      194    0.001    0.000    0.001    0.000 {built-in method _sre.unicode_iscased}
      463    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
        1    0.000    0.000    0.000    0.000 core.py:230(reload_library)
        3    0.000    0.000    0.000    0.000 six.py:887(wrapper)
        1    0.000    0.000    0.000    0.000 category.py:26(StrCategoryConverter)
        8    0.000    0.000    0.000    0.000 {built-in method posix.lstat}
        1    0.000    0.000    0.000    0.000 calendar.py:60(Month)
        1    0.000    0.000    0.000    0.000 win.py:1(<module>)
      254    0.000    0.000    0.000    0.000 core.py:4301(<genexpr>)
        4    0.000    0.000    0.000    0.000 inspect.py:3121(__hash__)
       90    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
       33    0.000    0.000    0.000    0.000 contextlib.py:104(__init__)
        8    0.000    0.000    0.000    0.000 core.py:4903(_generateDefaultName)
      363    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
        1    0.000    0.000    0.000    0.000 unicode.py:31(unicode_set)
        1    0.000    0.000    0.000    0.000 core.py:5115(ParseElementEnhance)
      170    0.000    0.000    0.000    0.000 textwrap.py:479(predicate)
       48    0.000    0.000    0.000    0.000 _internal.py:893(_ufunc_doc_signature_formatter)
        1    0.000    0.000    0.000    0.000 _legacy.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pprint.py:1(<module>)
        1    0.000    0.000    0.000    0.000 rrule.py:1307(rruleset)
      158    0.000    0.000    0.000    0.000 core.py:897(preParse)
        1    0.000    0.000    0.000    0.000 argparse.py:157(HelpFormatter)
        1    0.000    0.000    0.000    0.000 Image.py:166(Dither)
       33    0.000    0.000    0.000    0.000 __init__.py:243(_releaseLock)
        1    0.000    0.000    0.000    0.000 transforms.py:1277(Transform)
       11    0.000    0.000    0.000    0.000 rcsetup.py:361(_validate_cmap)
       10    0.000    0.000    0.000    0.000 __future__.py:83(__init__)
     1606    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      871    0.000    0.000    0.000    0.000 inspect.py:2800(default)
        1    0.000    0.000    0.000    0.000 umath.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:1(<module>)
        1    0.000    0.000    0.000    0.000 difflib.py:724(Differ)
       19    0.000    0.000    0.000    0.000 __init__.py:62(_process_keys)
        1    0.000    0.000    0.000    0.000 cbook.py:198(CallbackRegistry)
       14    0.000    0.000    0.000    0.000 __init__.py:199(split)
      110    0.000    0.000    0.000    0.000 __init__.py:28(decorator)
      159    0.000    0.000    0.000    0.000 <string>:2(__init__)
        4    0.000    0.000    0.000    0.000 core.py:3300(copy)
        1    0.000    0.000    0.000    0.000 scale.py:479(AsinhTransform)
      301    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1157(__init__)
      224    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
      247    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
        1    0.000    0.000    0.000    0.000 core.py:190(update_user_library)
        1    0.000    0.000    0.000    0.000 offsetbox.py:202(OffsetBox)
       14    0.000    0.000    0.000    0.000 deprecation.py:185(finalize)
        3    0.000    0.000    0.000    0.000 core.py:2763(__init__)
        2    0.000    0.000    0.000    0.000 core.py:617(set_results_name)
        2    0.000    0.000    0.000    0.000 dataclasses.py:661(_cmp_fn)
        1    0.000    0.000    0.000    0.000 Image.py:174(Palette)
        2    0.000    0.000    0.000    0.000 dataclasses.py:627(_repr_fn)
        1    0.000    0.000    0.000    0.000 _common.py:21(package_to_anchor)
        1    0.000    0.000    0.000    0.000 ipaddress.py:383(_IPAddressBase)
        8    0.000    0.000    0.000    0.000 core.py:5637(__init__)
       16    0.000    0.000    0.000    0.000 copyreg.py:107(_slotnames)
        8    0.000    0.000    0.000    0.000 unicode.py:9(__init__)
        1    0.000    0.000    0.000    0.000 axis.py:557(Axis)
      156    0.000    0.000    0.000    0.000 core.py:2259(__hash__)
      578    0.000    0.000    0.000    0.000 enum.py:1184(__init__)
        1    0.000    0.000    0.000    0.000 spines.py:14(Spine)
       22    0.000    0.000    0.000    0.000 __init__.py:228(__getattr__)
        2    0.000    0.000    0.000    0.000 selectors.py:588(_can_use)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        1    0.000    0.000    0.000    0.000 warnings.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _factories.py:1(<module>)
       51    0.000    0.000    0.000    0.000 colors.py:404(<genexpr>)
       25    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:72(add_newdoc_for_scalar_type)
       33    0.000    0.000    0.000    0.000 __init__.py:234(_acquireLock)
       61    0.000    0.000    0.000    0.000 results.py:253(__getitem__)
        1    0.000    0.000    0.000    0.000 pathlib.py:628(with_name)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _triangulation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _layoutgrid.py:1(<module>)
       55    0.000    0.000    0.000    0.000 {built-in method numpy._core._multiarray_umath._make_extobj}
      102    0.000    0.000    0.000    0.000 _linalg.py:201(_realType)
        1    0.000    0.000    0.000    0.000 backend_managers.py:1(<module>)
       31    0.000    0.000    0.000    0.000 warnings.py:484(__enter__)
       54    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
        1    0.000    0.000    0.000    0.000 core.py:128(Diagnostics)
        1    0.000    0.000    0.000    0.000 _trifinder.py:1(<module>)
       36    0.000    0.000    0.000    0.000 dataclasses.py:701(_is_type)
       23    0.000    0.000    0.000    0.000 colors.py:1234(reversed)
        1    0.000    0.000    0.000    0.000 _ufunclike_impl.py:1(<module>)
       40    0.000    0.000    0.000    0.000 getlimits.py:18(_fr0)
       46    0.000    0.000    0.000    0.000 colors.py:1194(__init__)
        1    0.000    0.000    0.000    0.000 texmanager.py:56(TexManager)
       98    0.000    0.000    0.000    0.000 rcsetup.py:77(__call__)
        1    0.000    0.000    0.000    0.000 container.py:77(ErrorbarContainer)
      163    0.000    0.000    0.000    0.000 <frozen posixpath>:60(isabs)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:1(<module>)
      288    0.000    0.000    0.000    0.000 <frozen posixpath>:41(_get_sep)
        1    0.000    0.000    0.000    0.000 geo.py:346(MollweideAxes)
       56    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
        1    0.000    0.000    0.000    0.000 _datasource.py:1(<module>)
      557    0.000    0.000    0.000    0.000 typing.py:2187(cast)
      382    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
        4    0.000    0.000    0.000    0.000 ast.py:56(literal_eval)
       30    0.000    0.000    0.000    0.000 _inspect.py:141(formatargspec)
        1    0.000    0.000    0.000    0.000 widgets.py:2100(_SelectorWidget)
        1    0.000    0.000    0.000    0.000 {method 'strftime' of 'datetime.date' objects}
        1    0.000    0.000    0.000    0.000 unicode.py:236(Japanese)
        1    0.000    0.000    0.000    0.000 ExifTags.py:344(Interop)
        2    0.000    0.000    0.000    0.000 typing.py:2219(get_type_hints)
        1    0.000    0.000    0.000    0.000 _tritools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 path.py:24(Path)
        1    0.000    0.000    0.000    0.000 patches.py:2380(BoxStyle)
        1    0.000    0.000    0.000    0.000 transforms.py:2172(BlendedGenericTransform)
       76    0.000    0.000    0.000    0.000 signal.py:9(<lambda>)
       33    0.000    0.000    0.000    0.000 <frozen codecs>:309(__init__)
       54    0.000    0.000    0.000    0.000 pathlib.py:1164(__new__)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1161(_make_netmask)
       13    0.000    0.000    0.000    0.000 core.py:8758(__init__)
        7    0.000    0.000    0.000    0.000 core.py:4027(__init__)
        1    0.000    0.000    0.000    0.000 Image.py:127(Transpose)
      139    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 geo.py:301(HammerAxes)
      101    0.000    0.000    0.000    0.000 core.py:6811(_expanded)
       11    0.000    0.000    0.000    0.000 __init__.py:65(check_isinstance)
       47    0.000    0.000    0.000    0.000 rcsetup.py:382(validate_fontsize)
      137    0.000    0.000    0.000    0.000 colors.py:1012(__init__)
