#=====================================================
# File created:        Sat-14-Feb-2026-at-04-06-50PM
# Size of lattice:     60x60
# Number of MC steps:  1000
# Reduced temperature: 0.650
# Run time (s):        65.772478
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -3484.6531  0.2631 
   00001    0.6739   -5271.9047  0.2775 
   00002    0.6342   -6420.9425  0.2858 
   00003    0.5894   -7220.5424  0.2857 
   00004    0.5386   -7795.3187  0.2907 
   00005    0.5253   -8303.9743  0.2980 
   00006    0.5214   -8735.1918  0.3118 
   00007    0.4869   -8985.8986  0.3178 
   00008    0.4786   -9268.6686  0.3157 
   00009    0.4844   -9477.5037  0.3195 
   00010    0.4528   -9533.8528  0.3217 
   00011    0.4731   -9671.8344  0.3251 
   00012    0.4636   -9733.1030  0.3248 
   00013    0.4583   -9865.2520  0.3288 
   00014    0.4475   -9993.4507  0.3309 
   00015    0.4456  -10020.5668  0.3311 
   00016    0.4469  -10108.1247  0.3426 
   00017    0.4586  -10172.4280  0.3470 
   00018    0.4372  -10132.3949  0.3531 
   00019    0.4408  -10161.1045  0.3548 
   00020    0.4528  -10210.6890  0.3549 
   00021    0.4436  -10224.8155  0.3547 
   00022    0.4519  -10351.4834  0.3508 
   00023    0.4322  -10434.3291  0.3500 
   00024    0.4214  -10422.7858  0.3484 
   00025    0.4514  -10462.6307  0.3504 
   00026    0.4250  -10570.1908  0.3521 
   00027    0.4303  -10661.4775  0.3556 
   00028    0.4186  -10593.0087  0.3545 
   00029    0.4367  -10650.6699  0.3576 
   00030    0.4389  -10700.1934  0.3506 
   00031    0.4244  -10768.0859  0.3395 
   00032    0.4156  -10769.2121  0.3388 
   00033    0.4172  -10796.3286  0.3395 
   00034    0.4225  -10743.0912  0.3387 
   00035    0.4275  -10739.2874  0.3359 
   00036    0.4172  -10812.8335  0.3305 
   00037    0.4178  -10838.5713  0.3304 
   00038    0.4342  -10785.1148  0.3301 
   00039    0.4269  -10766.2929  0.3311 
   00040    0.4322  -10747.9810  0.3304 
   00041    0.4297  -10708.3100  0.3334 
   00042    0.4322  -10736.3547  0.3297 
   00043    0.4442  -10781.8256  0.3346 
   00044    0.4383  -10708.3322  0.3346 
   00045    0.4314  -10794.3940  0.3356 
   00046    0.4194  -10764.9840  0.3429 
   00047    0.4294  -10784.1407  0.3480 
   00048    0.4158  -10790.4371  0.3540 
   00049    0.4214  -10803.7980  0.3605 
   00050    0.4361  -10802.9490  0.3514 
   00051    0.4200  -10867.7979  0.3604 
   00052    0.4286  -10862.4963  0.3595 
   00053    0.4075  -10866.2463  0.3605 
   00054    0.4253  -10849.2899  0.3627 
   00055    0.4164  -10844.1875  0.3655 
   00056    0.4244  -10793.8768  0.3629 
   00057    0.4300  -10857.6725  0.3664 
   00058    0.4458  -10903.5271  0.3700 
   00059    0.4122  -10917.0205  0.3645 
   00060    0.4125  -10949.2486  0.3602 
   00061    0.4294  -10897.8098  0.3657 
   00062    0.4083  -10933.1830  0.3650 
   00063    0.4153  -10966.2641  0.3674 
   00064    0.4156  -11092.2617  0.3719 
   00065    0.4175  -11013.8157  0.3703 
   00066    0.4072  -11010.2638  0.3670 
   00067    0.4164  -10994.7733  0.3650 
   00068    0.4225  -11019.6089  0.3613 
   00069    0.4122  -10976.4579  0.3617 
   00070    0.4164  -10965.9527  0.3592 
   00071    0.4144  -10983.2944  0.3576 
   00072    0.4086  -10949.4844  0.3545 
   00073    0.4164  -11006.9798  0.3638 
   00074    0.4247  -10957.4888  0.3620 
   00075    0.4183  -10942.0941  0.3645 
   00076    0.4214  -10977.7544  0.3670 
   00077    0.4147  -11037.8163  0.3616 
   00078    0.4183  -11051.1570  0.3558 
   00079    0.4022  -11039.7693  0.3595 
   00080    0.4208  -10984.9206  0.3627 
   00081    0.4094  -11047.8935  0.3674 
   00082    0.4028  -11094.4025  0.3689 
   00083    0.4203  -11190.7908  0.3686 
   00084    0.4158  -11161.1482  0.3667 
   00085    0.3997  -11140.7980  0.3683 
   00086    0.4136  -11122.6326  0.3613 
   00087    0.4150  -11151.5522  0.3666 
   00088    0.4156  -11126.2983  0.3616 
   00089    0.4075  -11096.0721  0.3625 
   00090    0.4056  -11034.6768  0.3682 
   00091    0.4169  -11073.5831  0.3702 
   00092    0.3997  -11053.7589  0.3707 
   00093    0.4275  -11064.6785  0.3721 
   00094    0.4200  -10983.6428  0.3621 
   00095    0.4247  -11029.7904  0.3606 
   00096    0.4047  -11050.1915  0.3686 
   00097    0.4078  -11091.6635  0.3694 
   00098    0.4133  -11108.2411  0.3682 
   00099    0.3961  -11098.5462  0.3749 
   00100    0.4244  -11066.2237  0.3759 
   00101    0.4206  -11002.7592  0.3730 
   00102    0.4153  -11086.0859  0.3733 
   00103    0.3964  -11063.4827  0.3778 
   00104    0.4033  -11095.0825  0.3775 
   00105    0.4136  -11072.6560  0.3779 
   00106    0.4064  -11007.3112  0.3829 
