#=====================================================
# File created:        Sat-14-Feb-2026-at-04-12-31PM
# Size of lattice:     100x100
# Number of MC steps:  1000
# Reduced temperature: 0.650
# Run time (s):        179.888427
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -9773.1365  0.2575 
   00001    0.6860  -14838.6054  0.2572 
   00002    0.6225  -17904.7704  0.2576 
   00003    0.5808  -20020.2996  0.2600 
   00004    0.5517  -21484.7343  0.2691 
   00005    0.5314  -22596.8740  0.2719 
   00006    0.5095  -23650.6521  0.2775 
   00007    0.5006  -24529.9503  0.2798 
   00008    0.4890  -25218.0931  0.2820 
   00009    0.4795  -25770.5614  0.2833 
   00010    0.4676  -26052.9017  0.2903 
   00011    0.4659  -26440.9840  0.2890 
   00012    0.4669  -26740.1905  0.2893 
   00013    0.4599  -26928.4312  0.2874 
   00014    0.4557  -27123.3397  0.2875 
   00015    0.4492  -27382.4500  0.2867 
   00016    0.4508  -27637.4711  0.2887 
   00017    0.4481  -27771.3570  0.2885 
   00018    0.4500  -28029.7711  0.2921 
   00019    0.4513  -28170.6582  0.2899 
   00020    0.4471  -28274.4093  0.2928 
   00021    0.4473  -28524.4987  0.2928 
   00022    0.4438  -28570.9463  0.2969 
   00023    0.4422  -28769.8272  0.2980 
   00024    0.4443  -28832.6829  0.2976 
   00025    0.4328  -28977.5589  0.2975 
   00026    0.4416  -28978.5708  0.2981 
   00027    0.4313  -29056.0541  0.2989 
   00028    0.4346  -29178.0792  0.3007 
   00029    0.4351  -29234.4312  0.3012 
   00030    0.4260  -29282.1484  0.3028 
   00031    0.4310  -29336.1210  0.3022 
   00032    0.4203  -29516.6427  0.3003 
   00033    0.4158  -29661.1412  0.3040 
   00034    0.4368  -29813.1371  0.2989 
   00035    0.4245  -29900.3886  0.3023 
   00036    0.4295  -29989.4547  0.3004 
   00037    0.4205  -29973.4769  0.2993 
   00038    0.4274  -29961.3563  0.2968 
   00039    0.4268  -29955.0618  0.2961 
   00040    0.4177  -30032.4858  0.2977 
   00041    0.4232  -30081.4803  0.3008 
   00042    0.4169  -30109.4544  0.3005 
   00043    0.4136  -29976.0855  0.2997 
   00044    0.4190  -29918.9650  0.2976 
   00045    0.4169  -29872.1679  0.2986 
   00046    0.4229  -29960.7437  0.3014 
   00047    0.4242  -30017.5336  0.2987 
   00048    0.4347  -29969.3070  0.3022 
   00049    0.4203  -30043.2831  0.3048 
   00050    0.4278  -30110.8479  0.3071 
   00051    0.4259  -29993.0988  0.3021 
   00052    0.4196  -30131.1369  0.3024 
   00053    0.4235  -30286.2176  0.3049 
   00054    0.4166  -30385.9681  0.3049 
   00055    0.4098  -30492.2279  0.3029 
   00056    0.4179  -30519.8730  0.3075 
   00057    0.4164  -30524.5530  0.3074 
   00058    0.4082  -30514.6660  0.3094 
   00059    0.4202  -30392.6215  0.3124 
   00060    0.4161  -30503.4575  0.3128 
   00061    0.4115  -30559.2286  0.3116 
   00062    0.4081  -30588.6882  0.3075 
   00063    0.4160  -30679.6799  0.3075 
   00064    0.4157  -30669.1920  0.3115 
   00065    0.4188  -30638.0869  0.3103 
   00066    0.4102  -30560.4776  0.3122 
   00067    0.4098  -30509.0999  0.3087 
   00068    0.4083  -30458.4643  0.3116 
   00069    0.4138  -30577.0112  0.3104 
   00070    0.4121  -30600.1656  0.3119 
   00071    0.4155  -30702.8029  0.3123 
   00072    0.4193  -30702.9342  0.3173 
   00073    0.4193  -30696.6569  0.3197 
   00074    0.4240  -30692.4264  0.3213 
   00075    0.4146  -30815.2411  0.3232 
   00076    0.4199  -30871.9725  0.3256 
   00077    0.4196  -30897.7241  0.3238 
   00078    0.4143  -30885.5007  0.3269 
   00079    0.4178  -30798.8605  0.3278 
   00080    0.4053  -30862.0944  0.3289 
   00081    0.4132  -30810.9411  0.3271 
   00082    0.4119  -30838.9906  0.3258 
   00083    0.4135  -30812.4237  0.3243 
   00084    0.4053  -30727.3943  0.3258 
   00085    0.4125  -30755.4660  0.3278 
   00086    0.4117  -30765.3731  0.3290 
   00087    0.4135  -30824.5127  0.3229 
   00088    0.4049  -30872.4507  0.3252 
   00089    0.4166  -30837.9506  0.3258 
   00090    0.4163  -30875.3806  0.3295 
   00091    0.4115  -30983.7300  0.3326 
   00092    0.4068  -30922.8184  0.3341 
   00093    0.4141  -30907.7502  0.3373 
   00094    0.3974  -30966.5382  0.3344 
   00095    0.4164  -30953.4552  0.3355 
   00096    0.4139  -30870.1375  0.3326 
