#=====================================================
# File created:        Mon-16-Feb-2026-at-01-52-02PM
# Size of lattice:     60x60
# Number of MC steps:  1000
# Reduced temperature: 0.650
# Run time (s):        27.609327
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -3618.6363  0.2593 
   00001    0.6733   -5461.8094  0.2593 
   00002    0.6161   -6581.2076  0.2713 
   00003    0.5658   -7345.3084  0.2784 
   00004    0.5281   -7745.1349  0.2853 
   00005    0.5197   -8150.7985  0.2695 
   00006    0.5169   -8526.5460  0.2731 
   00007    0.4889   -8869.0579  0.2702 
   00008    0.4883   -9052.6437  0.2799 
   00009    0.4697   -9280.0129  0.2862 
   00010    0.4833   -9520.9905  0.2887 
   00011    0.4642   -9637.7228  0.2949 
   00012    0.4608   -9751.5806  0.3017 
   00013    0.4539   -9785.3523  0.3045 
   00014    0.4381   -9799.6562  0.3082 
   00015    0.4539   -9957.1205  0.3234 
   00016    0.4528  -10090.0655  0.3220 
   00017    0.4506  -10089.4907  0.3262 
   00018    0.4517  -10125.6928  0.3267 
   00019    0.4369  -10156.9913  0.3219 
   00020    0.4467  -10251.0582  0.3314 
   00021    0.4353  -10329.0284  0.3256 
   00022    0.4278  -10372.1675  0.3302 
   00023    0.4353  -10441.8695  0.3325 
   00024    0.4308  -10507.2946  0.3358 
   00025    0.4411  -10492.1104  0.3267 
   00026    0.4261  -10470.0111  0.3269 
   00027    0.4408  -10489.0375  0.3307 
   00028    0.4306  -10480.6839  0.3366 
   00029    0.4283  -10537.4835  0.3364 
   00030    0.4319  -10498.0253  0.3368 
   00031    0.4217  -10471.7058  0.3352 
   00032    0.4408  -10484.4523  0.3334 
   00033    0.4319  -10548.9575  0.3277 
   00034    0.4361  -10603.2916  0.3277 
   00035    0.4261  -10708.6846  0.3319 
   00036    0.4383  -10709.6711  0.3390 
   00037    0.4200  -10704.9102  0.3364 
   00038    0.4367  -10704.8208  0.3402 
   00039    0.4258  -10758.6146  0.3398 
   00040    0.4528  -10816.5624  0.3430 
   00041    0.4308  -10907.6765  0.3474 
   00042    0.4233  -10834.9419  0.3455 
   00043    0.4039  -10829.3978  0.3496 
   00044    0.4283  -10843.9850  0.3465 
   00045    0.4144  -10911.3375  0.3480 
   00046    0.4131  -10856.3944  0.3547 
   00047    0.4172  -10915.4431  0.3605 
   00048    0.4214  -10969.9261  0.3648 
   00049    0.4006  -10960.6523  0.3618 
   00050    0.4067  -10891.1382  0.3625 
   00051    0.4197  -10917.1109  0.3644 
   00052    0.4253  -10911.6345  0.3677 
   00053    0.4289  -10957.4920  0.3670 
   00054    0.4289  -11014.8998  0.3707 
   00055    0.4169  -10995.9734  0.3741 
   00056    0.4100  -11006.8483  0.3777 
   00057    0.4078  -11022.0658  0.3796 
   00058    0.4058  -11015.4092  0.3831 
   00059    0.4103  -10942.9164  0.3823 
   00060    0.4194  -10961.8142  0.3828 
   00061    0.4219  -11044.1712  0.3823 
   00062    0.4219  -10979.8876  0.3800 
   00063    0.4139  -11027.7709  0.3770 
   00064    0.4231  -11071.3262  0.3711 
   00065    0.4247  -11133.5806  0.3623 
   00066    0.4189  -11092.9718  0.3655 
   00067    0.4142  -11076.0015  0.3636 
   00068    0.4258  -11084.0940  0.3624 
   00069    0.4114  -11079.1329  0.3650 
   00070    0.4172  -11061.0983  0.3665 
   00071    0.3978  -11182.3285  0.3635 
   00072    0.4144  -11197.3975  0.3721 
   00073    0.4231  -11202.2202  0.3759 
   00074    0.4142  -11204.7494  0.3790 
   00075    0.4067  -11178.2849  0.3778 
   00076    0.4053  -11166.8532  0.3768 
   00077    0.4144  -11182.6770  0.3735 
   00078    0.4086  -11151.6572  0.3715 
   00079    0.4011  -11181.0532  0.3668 
   00080    0.4192  -11221.6817  0.3705 
