#=====================================================
# File created:        Sun-15-Feb-2026-at-03-44-47PM
# Size of lattice:     40x40
# Number of MC steps:  1000
# Reduced temperature: 0.650
# Run time (s):        13.050609
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -1625.8950  0.2517 
   00001    0.6619   -2413.5680  0.2596 
   00002    0.5988   -2902.0780  0.2676 
   00003    0.5637   -3269.4723  0.2747 
   00004    0.5256   -3514.3869  0.2589 
   00005    0.5269   -3654.8230  0.2711 
   00006    0.5025   -3803.3973  0.2767 
   00007    0.5025   -3925.0421  0.2810 
   00008    0.4806   -4033.4535  0.2834 
   00009    0.4994   -4077.9212  0.2820 
   00010    0.4844   -4047.1407  0.2789 
   00011    0.4788   -4137.1097  0.2702 
   00012    0.4744   -4183.5419  0.2581 
   00013    0.4550   -4259.4395  0.2576 
   00014    0.4788   -4268.3581  0.2526 
   00015    0.4688   -4338.1506  0.2595 
   00016    0.4688   -4418.8344  0.2621 
   00017    0.4419   -4438.5808  0.2609 
   00018    0.4363   -4443.3322  0.2568 
   00019    0.4431   -4503.9581  0.2669 
   00020    0.4525   -4480.0219  0.2740 
   00021    0.4325   -4505.6485  0.2828 
   00022    0.4475   -4527.3722  0.2852 
   00023    0.4450   -4532.2933  0.2879 
   00024    0.4519   -4505.2602  0.2883 
   00025    0.4556   -4573.1352  0.2880 
   00026    0.4600   -4579.2101  0.2832 
   00027    0.4313   -4581.6589  0.2783 
   00028    0.4238   -4539.2967  0.2829 
   00029    0.4556   -4559.5966  0.2744 
   00030    0.4487   -4629.6806  0.2641 
   00031    0.4206   -4591.0398  0.2711 
   00032    0.4375   -4570.6189  0.2776 
   00033    0.4519   -4616.4426  0.2833 
   00034    0.4456   -4672.4678  0.2815 
   00035    0.4225   -4644.7207  0.2916 
   00036    0.4281   -4687.3972  0.2877 
   00037    0.4194   -4688.2294  0.2775 
   00038    0.4225   -4658.2156  0.2733 
   00039    0.4412   -4654.3132  0.2706 
   00040    0.4213   -4673.6909  0.2684 
   00041    0.4244   -4708.5639  0.2651 
   00042    0.4219   -4757.4916  0.2594 
   00043    0.4319   -4738.2854  0.2657 
   00044    0.4375   -4718.9171  0.2732 
   00045    0.4062   -4774.6559  0.2731 
   00046    0.4300   -4771.4109  0.2820 
   00047    0.4138   -4802.9412  0.2973 
   00048    0.3981   -4795.0047  0.2936 
   00049    0.4138   -4786.0528  0.3002 
   00050    0.4369   -4845.9566  0.2985 
   00051    0.4138   -4805.9158  0.2963 
   00052    0.4025   -4812.6882  0.2874 
   00053    0.4300   -4817.6921  0.2720 
   00054    0.4281   -4793.7230  0.2665 
   00055    0.4313   -4829.8131  0.2606 
   00056    0.4194   -4863.4529  0.2661 
   00057    0.4138   -4883.6528  0.2718 
   00058    0.4062   -4874.9623  0.2827 
   00059    0.4225   -4926.8391  0.2796 
   00060    0.4075   -4926.1290  0.2787 
   00061    0.4144   -4932.6531  0.2853 
   00062    0.4100   -4947.7733  0.2865 
   00063    0.4369   -4933.3274  0.2931 
   00064    0.4131   -4967.0162  0.2901 
   00065    0.4062   -4987.1869  0.2911 
   00066    0.4275   -4943.7204  0.2855 
   00067    0.4306   -4917.8587  0.2887 
   00068    0.4119   -4904.0415  0.2952 
   00069    0.4050   -4887.6155  0.2950 
   00070    0.4069   -4910.7497  0.2935 
   00071    0.4350   -4936.6318  0.2892 
   00072    0.4062   -4924.4647  0.2955 
   00073    0.3981   -4918.4055  0.3015 
   00074    0.4213   -4838.4853  0.2957 
   00075    0.4363   -4843.5355  0.2984 
   00076    0.4319   -4869.5205  0.2975 
   00077    0.4419   -4860.5732  0.2959 
   00078    0.4144   -4879.1692  0.2982 
   00079    0.4250   -4934.4485  0.2996 
   00080    0.4006   -4897.0331  0.2994 
   00081    0.4219   -4895.8471  0.2980 
   00082    0.4306   -4875.3730  0.2965 
   00083    0.4219   -4896.3810  0.2946 
   00084    0.4025   -4907.2406  0.3063 
   00085    0.4181   -4890.2422  0.3037 
   00086    0.4269   -4884.1031  0.3047 
   00087    0.4050   -4925.3080  0.3044 
   00088    0.4412   -4911.4166  0.3115 
   00089    0.4056   -4933.4649  0.3180 
   00090    0.3875   -4918.3410  0.3257 
   00091    0.4263   -4923.3209  0.3180 
   00092    0.4250   -4892.5185  0.3269 
   00093    0.4150   -4885.0568  0.3216 
   00094    0.3787   -4899.6143  0.3277 
   00095    0.4163   -4880.9927  0.3279 
   00096    0.4181   -4936.9320  0.3391 
   00097    0.4144   -4919.7729  0.3483 
   00098    0.4000   -4947.8119  0.3483 
   00099    0.4031   -4977.9967  0.3496 
   00100    0.4106   -4979.3582  0.3533 
   00101    0.4181   -4946.8136  0.3563 
   00102    0.4194   -4867.0082  0.3532 
   00103    0.4225   -4861.8007  0.3389 
   00104    0.4169   -4861.7801  0.3474 
   00105    0.4175   -4931.9958  0.3560 
   00106    0.4200   -4909.3734  0.3623 
   00107    0.3950   -4942.8507  0.3635 
   00108    0.3987   -4940.5482  0.3652 
   00109    0.3875   -4955.0013  0.3626 
   00110    0.4188   -4922.8568  0.3625 
   00111    0.4213   -4939.2688  0.3584 
   00112    0.4144   -4891.3296  0.3584 
   00113    0.4156   -4863.1994  0.3619 
   00114    0.4238   -4859.3490  0.3619 
   00115    0.4456   -4862.7060  0.3659 
   00116    0.4169   -4858.9775  0.3727 
   00117    0.4206   -4892.9460  0.3813 
   00118    0.4181   -4933.2187  0.3870 
   00119    0.4000   -4899.6009  0.4008 
   00120    0.3994   -4933.3609  0.4002 
   00121    0.4163   -4987.0862  0.4044 
   00122    0.4194   -4954.1184  0.4081 
   00123    0.4244   -4974.7572  0.4082 
   00124    0.4088   -4965.3028  0.4121 
   00125    0.4319   -4989.0612  0.4186 
   00126    0.4313   -4969.3665  0.4213 
   00127    0.4019   -4983.9042  0.4261 
   00128    0.3937   -5041.3259  0.4366 
   00129    0.4238   -5041.0897  0.4356 
   00130    0.3981   -5007.0766  0.4257 
   00131    0.4050   -4983.4151  0.4227 
   00132    0.4225   -4976.1960  0.4240 
   00133    0.4225   -4970.2744  0.4137 
   00134    0.4369   -4883.2810  0.4113 
   00135    0.4050   -4944.5354  0.4045 
   00136    0.4163   -4971.0944  0.4176 
   00137    0.3994   -4971.5967  0.4200 
   00138    0.4019   -4978.7131  0.4194 
   00139    0.4144   -4962.6159  0.4188 
   00140    0.4019   -4962.0593  0.4220 
   00141    0.4056   -4970.8024  0.4270 
   00142    0.4012   -5016.1939  0.4301 
   00143    0.4250   -4997.3834  0.4363 
   00144    0.4056   -5004.0671  0.4404 
   00145    0.4094   -4983.0693  0.4350 
   00146    0.4181   -4950.1052  0.4451 
   00147    0.4037   -4929.4269  0.4449 
   00148    0.4269   -4890.6047  0.4360 
   00149    0.4037   -4882.3140  0.4464 
