#=====================================================
# File created:        Fri-13-Feb-2026-at-12-55-27PM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.700
# Run time (s):        13.041169
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -382.3780  0.2929 
   00001    0.6750    -655.9991  0.3046 
   00002    0.6000    -760.8605  0.3278 
   00003    0.5925    -822.6852  0.3398 
   00004    0.5500    -861.1133  0.3728 
   00005    0.5600    -858.5146  0.3577 
   00006    0.5300    -924.3571  0.4107 
   00007    0.5650    -964.4634  0.4282 
   00008    0.4975   -1003.4827  0.4254 
   00009    0.4475    -996.3558  0.4046 
   00010    0.4725   -1026.7278  0.4016 
   00011    0.4550   -1049.6201  0.4336 
   00012    0.4250   -1066.4031  0.4386 
   00013    0.4175   -1099.3573  0.4628 
   00014    0.4650   -1073.6800  0.4428 
   00015    0.4600   -1107.6799  0.4262 
   00016    0.4850   -1099.0383  0.4356 
   00017    0.4350   -1119.7905  0.4560 
   00018    0.4350   -1118.6422  0.4581 
   00019    0.3850   -1128.4095  0.4503 
   00020    0.4150   -1125.4412  0.4580 
   00021    0.4325   -1126.8835  0.4663 
   00022    0.3950   -1138.5786  0.4794 
   00023    0.4000   -1159.0300  0.4852 
   00024    0.4750   -1174.0427  0.4624 
   00025    0.3450   -1165.7800  0.4492 
   00026    0.4000   -1177.7938  0.4430 
   00027    0.4325   -1172.9916  0.4362 
   00028    0.4150   -1141.8906  0.4327 
   00029    0.4500   -1138.9786  0.4459 
   00030    0.4025   -1156.5954  0.4809 
   00031    0.4350   -1163.4906  0.5015 
   00032    0.4250   -1160.9826  0.4881 
   00033    0.4075   -1157.3578  0.4826 
   00034    0.3925   -1177.3640  0.5123 
   00035    0.4175   -1157.6689  0.5052 
   00036    0.4150   -1174.3821  0.5140 
   00037    0.4600   -1159.0430  0.5007 
   00038    0.4225   -1183.0519  0.5188 
   00039    0.4575   -1189.7548  0.5348 
   00040    0.4325   -1193.2887  0.5444 
   00041    0.4275   -1199.9460  0.5404 
   00042    0.3950   -1202.8512  0.5618 
   00043    0.4000   -1168.9144  0.5571 
   00044    0.4100   -1194.2137  0.5750 
   00045    0.4350   -1233.6731  0.5997 
   00046    0.4075   -1231.7513  0.6248 
   00047    0.4000   -1231.7695  0.6325 
   00048    0.4300   -1201.9631  0.6381 
   00049    0.4250   -1182.8768  0.6264 
   00050    0.4075   -1179.2179  0.6228 
   00051    0.3550   -1194.5155  0.6160 
   00052    0.4000   -1214.0398  0.6170 
   00053    0.4275   -1179.3977  0.6133 
   00054    0.4275   -1163.7385  0.6079 
   00055    0.4050   -1162.0476  0.6155 
   00056    0.4250   -1187.8965  0.6297 
   00057    0.3875   -1207.7640  0.6521 
   00058    0.4100   -1188.9235  0.6643 
   00059    0.3925   -1208.8100  0.6632 
   00060    0.4375   -1201.8773  0.6377 
   00061    0.4375   -1209.3562  0.6400 
   00062    0.3925   -1226.6456  0.6430 
   00063    0.3900   -1211.1863  0.6282 
   00064    0.3875   -1234.1789  0.6232 
   00065    0.4175   -1229.3929  0.6305 
   00066    0.3900   -1217.3389  0.6315 
   00067    0.4350   -1229.0363  0.6278 
   00068    0.4400   -1224.2552  0.6348 
   00069    0.3975   -1224.4129  0.6254 
   00070    0.4025   -1218.5303  0.6193 
   00071    0.4125   -1218.6426  0.6249 
   00072    0.4525   -1203.7834  0.6032 
   00073    0.4575   -1200.9041  0.5780 
   00074    0.4000   -1193.4768  0.5941 
   00075    0.3750   -1212.8017  0.6071 
   00076    0.4075   -1217.6579  0.6124 
   00077    0.4100   -1181.0162  0.6056 
   00078    0.4275   -1199.8924  0.6357 
   00079    0.4300   -1177.1162  0.6286 
   00080    0.4375   -1201.1684  0.6158 
   00081    0.4150   -1188.0614  0.6216 
   00082    0.4000   -1178.1025  0.6001 
   00083    0.4225   -1189.0537  0.5998 
   00084    0.3675   -1208.5795  0.6078 
   00085    0.4350   -1178.7955  0.6019 
   00086    0.4025   -1186.9994  0.6046 
   00087    0.4050   -1224.7713  0.5964 
