#=====================================================
# File created:        Fri-13-Feb-2026-at-12-54-49PM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.500
# Run time (s):        15.885278
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -448.9975  0.2748 
   00001    0.6675    -642.9605  0.3122 
   00002    0.5950    -756.0665  0.3502 
   00003    0.5650    -859.2025  0.3544 
   00004    0.5350    -928.7223  0.3918 
   00005    0.4875    -986.8301  0.4094 
   00006    0.5425   -1021.7928  0.4038 
   00007    0.4950   -1052.4637  0.3988 
   00008    0.4750   -1057.9767  0.4168 
   00009    0.5325   -1065.6493  0.3923 
   00010    0.4650   -1114.6636  0.3878 
   00011    0.4550   -1147.2445  0.3872 
   00012    0.4425   -1165.3367  0.3983 
   00013    0.4975   -1190.0733  0.3968 
   00014    0.4575   -1182.0088  0.3938 
   00015    0.4525   -1179.4117  0.3787 
   00016    0.5000   -1184.1059  0.3838 
   00017    0.4700   -1202.4849  0.3874 
   00018    0.4400   -1209.6948  0.3918 
   00019    0.4625   -1214.9770  0.4074 
   00020    0.4075   -1225.8985  0.4320 
   00021    0.4700   -1225.1171  0.4301 
   00022    0.4125   -1225.2409  0.4521 
   00023    0.4800   -1222.9034  0.4477 
   00024    0.4625   -1242.9949  0.4697 
   00025    0.4225   -1262.5588  0.5007 
   00026    0.4650   -1261.0664  0.5001 
   00027    0.4000   -1279.5485  0.5099 
   00028    0.4125   -1290.3644  0.4935 
   00029    0.4525   -1295.0913  0.4849 
   00030    0.4675   -1288.2645  0.4912 
   00031    0.4075   -1281.7037  0.4884 
   00032    0.4325   -1287.6042  0.5110 
   00033    0.4325   -1304.6117  0.5187 
   00034    0.4575   -1332.1728  0.5153 
   00035    0.3875   -1329.4679  0.5157 
   00036    0.3925   -1321.1400  0.5119 
   00037    0.4150   -1312.2401  0.4983 
   00038    0.4725   -1321.2207  0.4931 
   00039    0.4475   -1319.0828  0.4919 
   00040    0.4700   -1321.0207  0.5053 
