#=====================================================
# File created:        Sun-01-Mar-2026-at-11-53-18AM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.650
# Run time (s):        1.916984
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -387.5365  0.2779 
   00001    0.6650    -603.9660  0.2850 
   00002    0.6775    -691.6226  0.2897 
   00003    0.6100    -788.6808  0.2935 
   00004    0.5275    -866.7451  0.3065 
   00005    0.5050    -941.0121  0.2914 
   00006    0.4950    -974.3888  0.3125 
   00007    0.4900    -986.3190  0.3122 
   00008    0.5100   -1008.8491  0.3246 
   00009    0.4625   -1008.5616  0.3587 
   00010    0.4400   -1027.3703  0.3712 
   00011    0.5075   -1027.9399  0.4085 
   00012    0.4475   -1059.2985  0.4355 
   00013    0.5200   -1110.9189  0.4282 
   00014    0.4700   -1108.8832  0.4154 
   00015    0.4375   -1107.7053  0.4043 
   00016    0.4550   -1136.3002  0.4140 
   00017    0.4425   -1168.6549  0.4281 
   00018    0.4225   -1178.9875  0.4179 
   00019    0.4375   -1177.9291  0.4363 
   00020    0.4600   -1198.0987  0.4479 
   00021    0.4050   -1189.5667  0.4664 
   00022    0.4450   -1172.6274  0.4567 
   00023    0.4650   -1164.1724  0.4437 
   00024    0.3775   -1171.7096  0.4421 
   00025    0.4175   -1169.0171  0.4303 
   00026    0.4425   -1172.5260  0.4346 
   00027    0.4400   -1160.7242  0.4254 
   00028    0.4200   -1157.3765  0.4542 
   00029    0.4275   -1167.9692  0.4641 
   00030    0.4300   -1162.7319  0.4557 
   00031    0.4725   -1173.2096  0.4503 
   00032    0.3900   -1180.8727  0.4605 
   00033    0.4100   -1186.5708  0.4911 
   00034    0.4625   -1177.2597  0.4932 
   00035    0.4250   -1181.1538  0.4945 
   00036    0.4225   -1168.8282  0.5110 
   00037    0.4325   -1178.4119  0.5281 
   00038    0.4175   -1180.8254  0.5159 
   00039    0.4300   -1178.0733  0.4973 
   00040    0.4400   -1185.3340  0.5103 
   00041    0.3825   -1206.2878  0.5226 
   00042    0.4375   -1219.1047  0.5240 
   00043    0.4175   -1216.5755  0.5414 
   00044    0.4175   -1210.7802  0.5644 
   00045    0.4350   -1195.3014  0.5602 
   00046    0.4125   -1202.9962  0.5705 
   00047    0.4525   -1217.9924  0.5875 
   00048    0.4450   -1217.3330  0.5962 
   00049    0.4075   -1212.9192  0.6025 
   00050    0.4100   -1201.0369  0.5865 
   00051    0.3550   -1187.4841  0.5933 
   00052    0.4250   -1178.7951  0.5788 
   00053    0.4425   -1191.6125  0.5952 
   00054    0.4150   -1188.1712  0.6138 
   00055    0.4250   -1188.5833  0.6170 
   00056    0.4425   -1173.9697  0.6228 
   00057    0.4475   -1188.6083  0.6114 
   00058    0.4325   -1210.0906  0.6265 
   00059    0.3925   -1211.9516  0.6343 
   00060    0.4550   -1204.3066  0.6427 
   00061    0.4425   -1219.1892  0.6531 
   00062    0.4125   -1224.3726  0.6655 
   00063    0.4850   -1230.6273  0.6653 
   00064    0.3975   -1232.4106  0.6606 
   00065    0.3950   -1229.6236  0.6585 
   00066    0.4425   -1235.9152  0.6754 
   00067    0.4550   -1234.2776  0.6817 
   00068    0.4200   -1241.7862  0.6906 
   00069    0.3900   -1256.7955  0.6975 
   00070    0.3700   -1272.2872  0.6967 
   00071    0.4150   -1272.6298  0.7066 
   00072    0.4375   -1251.4084  0.7039 
   00073    0.4300   -1240.3668  0.7232 
   00074    0.4175   -1269.4956  0.7294 
   00075    0.4050   -1252.0986  0.7323 
   00076    0.3950   -1265.3993  0.7493 
   00077    0.4150   -1250.0762  0.7496 
   00078    0.4325   -1264.9023  0.7487 
   00079    0.4325   -1260.1238  0.7552 
   00080    0.3600   -1292.6883  0.7643 
   00081    0.4100   -1274.9725  0.7735 
   00082    0.4200   -1254.4278  0.7642 
   00083    0.4450   -1253.0539  0.7679 
   00084    0.3950   -1252.1743  0.7623 
   00085    0.4050   -1257.6639  0.7733 
   00086    0.4000   -1279.9044  0.7986 
   00087    0.3875   -1270.9193  0.7941 
   00088    0.3350   -1281.3248  0.7968 
   00089    0.4100   -1289.9256  0.8000 
   00090    0.3775   -1293.7289  0.7996 
   00091    0.4125   -1271.6300  0.8027 
   00092    0.3775   -1288.3845  0.8139 
   00093    0.3775   -1270.3963  0.8057 
   00094    0.3675   -1287.9501  0.8097 
   00095    0.4100   -1266.9802  0.7997 
   00096    0.3975   -1283.9111  0.8059 
   00097    0.3925   -1285.0360  0.8083 
   00098    0.3925   -1285.5001  0.8058 
   00099    0.3950   -1259.6669  0.7978 
   00100    0.3850   -1266.3858  0.8069 
   00101    0.4325   -1264.1470  0.7971 
   00102    0.3975   -1269.1360  0.7979 
   00103    0.3850   -1297.2886  0.8129 
   00104    0.3950   -1299.9692  0.8211 
   00105    0.3775   -1303.7312  0.8176 
   00106    0.3650   -1289.2016  0.8278 
   00107    0.4050   -1292.2751  0.8316 
   00108    0.3750   -1303.3799  0.8416 
   00109    0.3950   -1279.7099  0.8359 
   00110    0.3950   -1263.7359  0.8254 
   00111    0.3900   -1298.2756  0.8449 
   00112    0.4000   -1284.0378  0.8350 
   00113    0.3725   -1283.9667  0.8233 
   00114    0.4050   -1283.5781  0.8172 
   00115    0.3850   -1278.1038  0.8162 
   00116    0.4100   -1277.9798  0.8245 
   00117    0.3875   -1248.1384  0.8121 
   00118    0.4225   -1265.4642  0.8068 
   00119    0.4025   -1287.3409  0.8138 
   00120    0.4200   -1299.7736  0.8198 
   00121    0.3975   -1290.9276  0.8160 
   00122    0.3975   -1277.3677  0.8013 
   00123    0.4175   -1289.7173  0.8046 
   00124    0.3700   -1288.4336  0.8061 
   00125    0.3500   -1280.5063  0.7948 
   00126    0.3875   -1268.6155  0.7944 
   00127    0.4375   -1268.6546  0.7884 
   00128    0.3750   -1277.6906  0.7953 
   00129    0.4075   -1259.6743  0.7957 
   00130    0.3800   -1280.4664  0.7980 
   00131    0.3750   -1271.0840  0.7736 
   00132    0.4025   -1280.6068  0.7827 
   00133    0.3950   -1292.3464  0.7834 
   00134    0.4225   -1297.7025  0.7894 
   00135    0.4100   -1301.3724  0.7815 
   00136    0.3775   -1316.9543  0.7901 
   00137    0.4200   -1285.6629  0.7710 
   00138    0.4350   -1259.1270  0.7693 
   00139    0.4250   -1267.2116  0.7734 
   00140    0.4400   -1269.1434  0.7723 
   00141    0.3600   -1283.5960  0.7863 
   00142    0.3625   -1272.2812  0.7834 
   00143    0.3650   -1257.0030  0.7708 
   00144    0.3875   -1272.7907  0.7810 
   00145    0.3975   -1269.4741  0.7811 
   00146    0.3875   -1253.1389  0.7762 
   00147    0.4075   -1229.6935  0.7759 
   00148    0.4075   -1226.3518  0.7716 
   00149    0.3425   -1229.3873  0.7704 
   00150    0.3800   -1236.2399  0.7755 
   00151    0.3850   -1249.2405  0.7738 
   00152    0.3800   -1253.8468  0.7735 
   00153    0.4175   -1268.3376  0.7646 
   00154    0.3925   -1286.3637  0.7685 
   00155    0.4075   -1293.8137  0.7906 
   00156    0.3800   -1290.8319  0.7916 
   00157    0.3725   -1283.0365  0.7774 
   00158    0.4200   -1292.4130  0.7716 
   00159    0.3850   -1300.7755  0.7741 
   00160    0.3750   -1274.6891  0.7772 
   00161    0.4150   -1267.1505  0.7670 
   00162    0.3700   -1273.2895  0.7624 
   00163    0.4100   -1273.3563  0.7676 
   00164    0.3975   -1265.0811  0.7540 
   00165    0.4100   -1287.6220  0.7608 
   00166    0.3975   -1310.2837  0.7796 
   00167    0.4250   -1296.6019  0.7770 
   00168    0.4025   -1295.8547  0.7760 
   00169    0.3900   -1251.6307  0.7679 
   00170    0.4225   -1260.5524  0.7703 
   00171    0.3975   -1252.3054  0.7730 
   00172    0.4625   -1272.1127  0.7739 
   00173    0.4125   -1272.2560  0.7727 
   00174    0.4300   -1257.6607  0.7611 
   00175    0.4350   -1241.8689  0.7534 
   00176    0.3825   -1271.7363  0.7698 
   00177    0.4250   -1282.6571  0.7750 
   00178    0.4050   -1313.9835  0.7889 
   00179    0.4050   -1327.5875  0.7804 
   00180    0.3675   -1310.2816  0.7655 
   00181    0.4250   -1304.8318  0.7752 
   00182    0.4000   -1289.3554  0.7725 
   00183    0.4125   -1288.7234  0.7796 
   00184    0.4150   -1300.7782  0.7825 
   00185    0.3700   -1270.4578  0.7716 
   00186    0.4050   -1312.2387  0.8024 
   00187    0.3650   -1309.9059  0.8000 
   00188    0.3925   -1309.4651  0.7985 
   00189    0.3575   -1297.2605  0.8002 
   00190    0.4250   -1288.1242  0.7973 
   00191    0.4250   -1286.6226  0.8105 
   00192    0.3825   -1290.1110  0.8030 
