#=====================================================
# File created:        Sun-01-Mar-2026-at-11-52-49AM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.650
# Run time (s):        1.896276
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -408.3905  0.2987 
   00001    0.6750    -626.1241  0.2800 
   00002    0.5750    -730.8772  0.2720 
   00003    0.6000    -802.3732  0.3107 
   00004    0.6025    -856.6506  0.3508 
   00005    0.5225    -902.5873  0.3715 
   00006    0.5125    -980.6876  0.3754 
   00007    0.4850    -993.2742  0.3875 
   00008    0.4725   -1014.3464  0.3972 
   00009    0.4525   -1031.2283  0.3970 
   00010    0.5050   -1044.4248  0.4002 
   00011    0.4675   -1067.5199  0.3949 
   00012    0.4850   -1059.2036  0.4058 
   00013    0.4625   -1069.8786  0.4090 
   00014    0.4725   -1075.8171  0.4176 
   00015    0.4950   -1034.0442  0.4087 
   00016    0.4775   -1075.1226  0.3961 
   00017    0.4750   -1085.1157  0.4159 
   00018    0.4600   -1098.0146  0.4266 
   00019    0.4425   -1096.3625  0.4247 
   00020    0.4900   -1098.6634  0.4143 
   00021    0.4250   -1071.1901  0.4053 
   00022    0.4550   -1089.3583  0.3993 
   00023    0.4950   -1120.8046  0.4150 
   00024    0.4325   -1127.1477  0.4308 
   00025    0.4325   -1125.2319  0.4418 
   00026    0.4525   -1099.9406  0.4431 
   00027    0.4825   -1125.5604  0.4622 
   00028    0.4175   -1173.6644  0.4718 
   00029    0.4525   -1160.8127  0.4853 
   00030    0.4525   -1182.6172  0.4954 
   00031    0.4125   -1176.7524  0.4997 
   00032    0.4025   -1180.0230  0.4914 
   00033    0.4375   -1192.7967  0.4931 
   00034    0.4225   -1180.1580  0.4985 
   00035    0.4150   -1168.3667  0.4874 
   00036    0.4275   -1171.8654  0.4973 
   00037    0.4400   -1175.0954  0.4931 
   00038    0.4200   -1169.6429  0.4845 
   00039    0.3900   -1164.0529  0.5033 
   00040    0.4550   -1161.8139  0.5084 
   00041    0.4625   -1173.4384  0.5143 
   00042    0.4075   -1179.5145  0.5331 
   00043    0.4425   -1173.4245  0.5238 
   00044    0.4250   -1171.7266  0.5057 
   00045    0.4075   -1171.6307  0.5099 
   00046    0.4525   -1174.2124  0.5029 
   00047    0.4050   -1180.5002  0.5142 
   00048    0.4400   -1174.8740  0.5133 
   00049    0.4300   -1179.4982  0.5202 
   00050    0.4375   -1205.0976  0.5225 
   00051    0.3900   -1190.7778  0.5099 
   00052    0.4050   -1205.9368  0.5130 
   00053    0.3950   -1171.6393  0.5174 
   00054    0.4350   -1181.1424  0.5234 
   00055    0.4400   -1205.7468  0.5378 
   00056    0.4050   -1225.0158  0.5540 
   00057    0.4250   -1230.1251  0.5688 
   00058    0.3950   -1228.4002  0.5819 
   00059    0.4500   -1229.9530  0.5859 
   00060    0.4050   -1234.7141  0.5953 
   00061    0.4375   -1250.5011  0.5951 
   00062    0.3975   -1241.7285  0.5695 
   00063    0.4250   -1238.0609  0.5611 
   00064    0.4250   -1228.9925  0.5532 
   00065    0.4175   -1243.0529  0.5494 
   00066    0.4200   -1246.0806  0.5569 
   00067    0.4200   -1229.9073  0.5637 
   00068    0.4300   -1211.7315  0.5443 
   00069    0.4025   -1256.8726  0.5465 
   00070    0.3825   -1225.4926  0.5320 
   00071    0.4250   -1221.7532  0.5263 
   00072    0.4025   -1234.1304  0.5289 
   00073    0.3625   -1215.9325  0.5354 
   00074    0.4075   -1216.0784  0.5304 
   00075    0.4425   -1224.7776  0.5334 
   00076    0.4075   -1228.9183  0.5555 
   00077    0.4300   -1230.3371  0.5634 
   00078    0.4175   -1199.9374  0.5597 
   00079    0.3975   -1196.5125  0.5619 
   00080    0.4600   -1185.2153  0.5645 
   00081    0.4375   -1187.5570  0.5606 
   00082    0.4400   -1205.2983  0.5605 
   00083    0.4400   -1216.2574  0.5904 
   00084    0.4600   -1232.7165  0.6087 
   00085    0.4350   -1234.1949  0.5909 
   00086    0.4050   -1264.4570  0.6203 
   00087    0.4525   -1265.1939  0.6347 
   00088    0.4350   -1271.6248  0.6441 
   00089    0.3900   -1269.7465  0.6450 
   00090    0.3950   -1284.6231  0.6534 
   00091    0.4050   -1299.7081  0.6519 
   00092    0.3875   -1292.6977  0.6607 
   00093    0.4075   -1286.4724  0.6621 
   00094    0.3975   -1298.0894  0.6737 
   00095    0.3325   -1298.9827  0.6766 
   00096    0.3800   -1301.4871  0.6887 
   00097    0.4025   -1312.4590  0.6956 
   00098    0.3875   -1302.9090  0.6912 
   00099    0.3850   -1294.6376  0.6845 
   00100    0.3700   -1290.3937  0.6832 
   00101    0.4050   -1282.6535  0.6948 
   00102    0.3975   -1287.8624  0.6835 
   00103    0.4125   -1285.7105  0.6755 
   00104    0.4375   -1284.4077  0.6686 
   00105    0.4375   -1273.9336  0.6784 
   00106    0.4050   -1263.3538  0.6688 
   00107    0.4100   -1287.0332  0.6845 
   00108    0.4450   -1262.4547  0.6935 
   00109    0.3500   -1261.2098  0.7032 
   00110    0.4150   -1276.0476  0.6885 
   00111    0.4225   -1282.2329  0.6851 
   00112    0.4000   -1252.0008  0.6843 
   00113    0.4175   -1261.5585  0.6818 
   00114    0.4125   -1246.2271  0.6814 
   00115    0.3575   -1238.6206  0.6769 
