#=====================================================
# File created:        Tue-03-Mar-2026-at-11-31-11PM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.100
# Run time (s):        9.357046
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -383.3742  0.3088 
   00001    0.6200    -477.7107  0.3171 
   00002    0.6525    -566.4750  0.3171 
   00003    0.6300    -638.6435  0.3241 
   00004    0.6650    -712.2651  0.3338 
   00005    0.6650    -789.1455  0.3378 
   00006    0.5800    -842.8051  0.3500 
   00007    0.6200    -894.3525  0.3529 
   00008    0.5950    -939.4561  0.3670 
   00009    0.5850   -1012.0080  0.3837 
   00010    0.5725   -1054.4012  0.3900 
   00011    0.5350   -1109.8835  0.4034 
   00012    0.5225   -1144.4245  0.4035 
   00013    0.5175   -1170.3936  0.4010 
   00014    0.5850   -1199.2291  0.4040 
   00015    0.4900   -1221.6127  0.4128 
   00016    0.5500   -1252.4732  0.4160 
   00017    0.4325   -1268.7202  0.4171 
   00018    0.5625   -1287.7352  0.4159 
   00019    0.5400   -1305.5010  0.4147 
   00020    0.4775   -1319.6563  0.4248 
   00021    0.5500   -1330.2335  0.4319 
   00022    0.5050   -1339.7147  0.4372 
   00023    0.5075   -1354.5540  0.4429 
   00024    0.4450   -1365.4684  0.4493 
   00025    0.5075   -1378.9896  0.4560 
   00026    0.4700   -1380.1782  0.4579 
   00027    0.4750   -1385.5341  0.4533 
   00028    0.5150   -1393.4304  0.4535 
   00029    0.5050   -1400.4063  0.4480 
   00030    0.5250   -1406.0783  0.4470 
   00031    0.5075   -1410.1924  0.4480 
   00032    0.5175   -1411.2770  0.4472 
   00033    0.5125   -1407.6734  0.4422 
   00034    0.4950   -1411.8333  0.4384 
   00035    0.4575   -1412.4701  0.4361 
   00036    0.4700   -1416.0810  0.4408 
   00037    0.5225   -1417.4355  0.4415 
   00038    0.4825   -1420.8201  0.4503 
   00039    0.5000   -1423.8960  0.4526 
   00040    0.5175   -1424.9288  0.4561 
   00041    0.5550   -1431.1760  0.4635 
   00042    0.4900   -1431.8173  0.4651 
   00043    0.4975   -1432.5671  0.4657 
   00044    0.4900   -1434.1563  0.4679 
   00045    0.5300   -1438.9020  0.4707 
   00046    0.5475   -1441.5663  0.4635 
   00047    0.4825   -1438.5752  0.4675 
   00048    0.5000   -1440.4193  0.4684 
   00049    0.4800   -1438.4471  0.4739 
   00050    0.4925   -1441.4313  0.4740 
   00051    0.5075   -1445.4486  0.4728 
   00052    0.4975   -1447.8551  0.4826 
   00053    0.5050   -1447.0563  0.4892 
   00054    0.4950   -1449.9370  0.4884 
   00055    0.5175   -1451.9367  0.4957 
   00056    0.4750   -1446.5268  0.4977 
   00057    0.4700   -1446.2223  0.4986 
   00058    0.5475   -1446.6035  0.5013 
   00059    0.5400   -1445.3353  0.5032 
   00060    0.4900   -1445.8709  0.4966 
   00061    0.4900   -1448.0011  0.5010 
   00062    0.4975   -1450.4721  0.5031 
   00063    0.4900   -1455.5175  0.5072 
   00064    0.4950   -1457.1721  0.5075 
   00065    0.5075   -1458.6530  0.5076 
   00066    0.4725   -1458.9237  0.5112 
   00067    0.4875   -1461.0317  0.5169 
   00068    0.4725   -1461.4888  0.5145 
   00069    0.4925   -1458.4611  0.5057 
   00070    0.4700   -1457.1872  0.5059 
   00071    0.4950   -1456.6725  0.5046 
   00072    0.4875   -1453.8037  0.5096 
   00073    0.4900   -1459.9665  0.5102 
   00074    0.4775   -1461.3001  0.5124 
   00075    0.4925   -1461.0481  0.5150 
