#=====================================================
# File created:        Tue-03-Mar-2026-at-11-34-04PM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.700
# Run time (s):        9.396484
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -412.4235  0.2902 
   00001    0.6825    -643.1562  0.2948 
   00002    0.6050    -734.0752  0.2841 
   00003    0.5825    -811.2062  0.2996 
   00004    0.5600    -862.1083  0.2869 
   00005    0.5150    -904.2088  0.3061 
   00006    0.4800    -940.4039  0.3113 
   00007    0.5125    -962.7763  0.3134 
   00008    0.5100   -1003.1624  0.3298 
   00009    0.5025   -1001.4514  0.3822 
   00010    0.4475   -1017.7272  0.3871 
   00011    0.4775   -1017.9394  0.3699 
   00012    0.4925   -1018.5265  0.3780 
   00013    0.4325   -1035.2825  0.3794 
   00014    0.4475   -1061.1827  0.3611 
   00015    0.4575   -1075.2662  0.3566 
   00016    0.4800   -1089.3057  0.3637 
   00017    0.4700   -1117.5163  0.3603 
   00018    0.4150   -1118.6981  0.3539 
   00019    0.4400   -1112.8220  0.3481 
   00020    0.3850   -1136.7893  0.3520 
   00021    0.4500   -1131.9211  0.3610 
   00022    0.4125   -1141.9372  0.3762 
   00023    0.3975   -1185.3690  0.3545 
   00024    0.4125   -1172.9055  0.3767 
   00025    0.4125   -1156.3484  0.3538 
   00026    0.4450   -1166.7449  0.3628 
   00027    0.3975   -1166.5163  0.3641 
   00028    0.4400   -1158.6831  0.3791 
   00029    0.4000   -1191.4355  0.4008 
   00030    0.4200   -1171.6005  0.4006 
   00031    0.4200   -1197.5218  0.4000 
   00032    0.4350   -1170.0705  0.4124 
   00033    0.4500   -1162.0345  0.4237 
   00034    0.4475   -1182.2838  0.4156 
   00035    0.4275   -1194.4556  0.4104 
   00036    0.3650   -1169.5596  0.3738 
   00037    0.3875   -1198.2434  0.3714 
   00038    0.3950   -1172.6245  0.3625 
   00039    0.4525   -1182.9834  0.3796 
   00040    0.4100   -1193.2224  0.3733 
   00041    0.4300   -1188.0590  0.3680 
   00042    0.3825   -1193.0516  0.3750 
   00043    0.4350   -1184.4792  0.3595 
   00044    0.4650   -1178.7802  0.3579 
   00045    0.4300   -1152.1250  0.3418 
   00046    0.4325   -1155.7931  0.3494 
   00047    0.4100   -1187.5579  0.3504 
   00048    0.4000   -1200.1219  0.3646 
   00049    0.4100   -1212.6007  0.3630 
   00050    0.3875   -1224.6455  0.3691 
   00051    0.4125   -1216.7650  0.3538 
   00052    0.3875   -1222.1259  0.3462 
   00053    0.4150   -1212.6028  0.3542 
   00054    0.3400   -1220.6821  0.3618 
   00055    0.4775   -1216.7075  0.3523 
   00056    0.3850   -1231.6103  0.3516 
   00057    0.4125   -1247.1740  0.3594 
   00058    0.4300   -1243.4475  0.3725 
   00059    0.4125   -1226.9783  0.3731 
   00060    0.4475   -1234.3497  0.3872 
   00061    0.4075   -1223.3374  0.3949 
   00062    0.4525   -1209.6966  0.4045 
   00063    0.4250   -1206.3197  0.4026 
   00064    0.3875   -1195.8071  0.4093 
   00065    0.4075   -1178.1024  0.3942 
   00066    0.3950   -1184.4680  0.4000 
   00067    0.4100   -1181.9107  0.3883 
   00068    0.4250   -1184.0371  0.4083 
   00069    0.4000   -1201.8723  0.4332 
   00070    0.4350   -1211.4978  0.4216 
   00071    0.4050   -1184.4742  0.4060 
   00072    0.4075   -1191.0790  0.4134 
   00073    0.4050   -1181.0204  0.4011 
   00074    0.4375   -1233.6993  0.4083 
   00075    0.3875   -1211.3423  0.4199 
   00076    0.4125   -1175.6100  0.4072 
   00077    0.3950   -1169.5202  0.3879 
   00078    0.4000   -1164.2863  0.3861 
   00079    0.4625   -1141.3693  0.3565 
   00080    0.4050   -1171.2898  0.3490 
   00081    0.4050   -1174.7133  0.3572 
   00082    0.4250   -1178.4405  0.3657 
   00083    0.4550   -1153.8784  0.3746 
   00084    0.4350   -1161.2379  0.3822 
   00085    0.4075   -1153.1778  0.3917 
   00086    0.3825   -1186.2484  0.3867 
