#=====================================================
# File created:        Tue-17-Feb-2026-at-11-46-53AM
# Size of lattice:     75x75
# Number of MC steps:  50
# Reduced temperature: 0.650
# Run time (s):        1.394062
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -5726.2791  0.2589 
   00001    0.6836   -8487.5955  0.2621 
   00002    0.6132  -10218.6551  0.2627 
   00003    0.5758  -11330.3918  0.2596 
   00004    0.5406  -12193.4198  0.2580 
   00005    0.5157  -12836.0007  0.2559 
   00006    0.5070  -13382.7414  0.2615 
   00007    0.4933  -13831.4697  0.2576 
   00008    0.4869  -14086.4418  0.2571 
   00009    0.4866  -14405.2092  0.2573 
   00010    0.4709  -14630.8087  0.2617 
   00011    0.4805  -14869.9187  0.2647 
   00012    0.4649  -15015.2032  0.2681 
   00013    0.4583  -15195.1272  0.2722 
   00014    0.4606  -15272.9023  0.2748 
   00015    0.4523  -15454.8415  0.2729 
   00016    0.4521  -15617.3121  0.2669 
   00017    0.4441  -15774.2834  0.2708 
   00018    0.4427  -15881.7090  0.2751 
   00019    0.4430  -15976.2679  0.2798 
   00020    0.4430  -16053.0875  0.2800 
   00021    0.4352  -16090.8876  0.2858 
   00022    0.4304  -16178.0934  0.2867 
   00023    0.4313  -16216.1292  0.2896 
   00024    0.4372  -16297.8266  0.2935 
   00025    0.4398  -16342.2986  0.2954 
   00026    0.4279  -16372.3115  0.3024 
   00027    0.4320  -16474.8482  0.2975 
   00028    0.4263  -16594.2687  0.2990 
   00029    0.4379  -16609.8381  0.3044 
   00030    0.4318  -16597.0275  0.3043 
   00031    0.4327  -16664.9937  0.3029 
   00032    0.4308  -16626.1796  0.2994 
   00033    0.4188  -16621.7263  0.3017 
   00034    0.4226  -16659.0966  0.3007 
   00035    0.4263  -16685.7760  0.3064 
   00036    0.4267  -16699.5695  0.3077 
   00037    0.4293  -16748.5077  0.3085 
   00038    0.4247  -16733.1492  0.3064 
   00039    0.4251  -16730.3871  0.3045 
   00040    0.4469  -16736.7596  0.3037 
   00041    0.4290  -16755.1333  0.3054 
   00042    0.4277  -16839.9681  0.3030 
   00043    0.4341  -16948.9687  0.3046 
   00044    0.4181  -16924.1871  0.3038 
   00045    0.4215  -16909.5202  0.3002 
   00046    0.4288  -16988.7373  0.2982 
   00047    0.4172  -16965.3229  0.2930 
   00048    0.4201  -16972.1574  0.2961 
   00049    0.4055  -17008.0620  0.2902 
   00050    0.4311  -17020.9459  0.2915 
