#=====================================================
# File created:        Mon-02-Mar-2026-at-08-23-47PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.650
# Run time (s):        0.630539
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2506.7008  0.2620 
   00001    0.6804   -3763.4477  0.2743 
   00002    0.6260   -4517.9551  0.2690 
   00003    0.5664   -5030.6324  0.2711 
   00004    0.5456   -5398.7918  0.2684 
   00005    0.5064   -5696.5545  0.2740 
   00006    0.5208   -5879.6988  0.2708 
   00007    0.5124   -6039.0798  0.2703 
   00008    0.4888   -6183.7427  0.2652 
   00009    0.4948   -6381.4125  0.2653 
   00010    0.4764   -6522.7012  0.2710 
   00011    0.4648   -6564.5518  0.2794 
   00012    0.4660   -6582.7121  0.2759 
   00013    0.4636   -6675.0033  0.2652 
   00014    0.4868   -6709.4143  0.2711 
   00015    0.4628   -6757.4964  0.2810 
   00016    0.4652   -6890.2748  0.2756 
   00017    0.4520   -7029.1212  0.2728 
   00018    0.4480   -7049.9872  0.2621 
   00019    0.4420   -7050.1074  0.2579 
   00020    0.4496   -7044.9266  0.2566 
   00021    0.4368   -7063.8027  0.2588 
   00022    0.4516   -7103.2867  0.2576 
   00023    0.4472   -7154.8870  0.2542 
   00024    0.4300   -7250.0303  0.2594 
   00025    0.4436   -7269.2423  0.2644 
   00026    0.4324   -7335.1250  0.2566 
   00027    0.4340   -7311.5375  0.2632 
   00028    0.4452   -7360.4666  0.2696 
   00029    0.4228   -7421.6376  0.2684 
   00030    0.4236   -7459.7548  0.2636 
   00031    0.4356   -7488.5950  0.2669 
   00032    0.4212   -7533.7577  0.2700 
   00033    0.4244   -7561.0878  0.2653 
   00034    0.4164   -7602.7544  0.2638 
   00035    0.4460   -7551.2678  0.2605 
   00036    0.4240   -7514.7145  0.2593 
   00037    0.4260   -7573.1109  0.2551 
   00038    0.4224   -7550.6558  0.2573 
   00039    0.4280   -7529.8786  0.2561 
   00040    0.4352   -7563.5975  0.2563 
   00041    0.4268   -7509.3744  0.2629 
   00042    0.4376   -7556.9411  0.2622 
   00043    0.4160   -7554.9823  0.2615 
   00044    0.4332   -7608.1793  0.2642 
   00045    0.4188   -7546.8330  0.2702 
   00046    0.4264   -7598.5952  0.2769 
   00047    0.4208   -7544.1437  0.2710 
   00048    0.4284   -7467.9710  0.2636 
   00049    0.4264   -7460.2058  0.2626 
   00050    0.4192   -7534.9128  0.2641 
