#=====================================================
# File created:        Tue-03-Mar-2026-at-06-20-03PM
# Size of lattice:     75x75
# Number of MC steps:  25
# Reduced temperature: 0.650
# Run time (s):        3.747775
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -5615.1759  0.2543 
   00001    0.7031   -9003.5534  0.2581 
   00002    0.6137  -10747.2931  0.2585 
   00003    0.5627  -11898.7092  0.2594 
   00004    0.5429  -12901.3982  0.2542 
   00005    0.5124  -13473.8336  0.2525 
   00006    0.5074  -13941.2230  0.2547 
   00007    0.4869  -14218.2473  0.2593 
   00008    0.4823  -14676.2034  0.2591 
   00009    0.4670  -14934.7690  0.2632 
   00010    0.4580  -15178.4788  0.2695 
   00011    0.4610  -15415.7110  0.2653 
   00012    0.4580  -15529.6280  0.2659 
   00013    0.4386  -15654.2487  0.2698 
   00014    0.4539  -15823.4821  0.2720 
   00015    0.4418  -15942.3720  0.2740 
   00016    0.4393  -15867.9040  0.2774 
   00017    0.4432  -15937.4275  0.2797 
   00018    0.4464  -16055.5579  0.2746 
   00019    0.4363  -16147.5404  0.2800 
   00020    0.4450  -16356.2011  0.2779 
   00021    0.4283  -16361.2992  0.2807 
   00022    0.4364  -16387.0771  0.2762 
   00023    0.4407  -16414.6755  0.2773 
   00024    0.4315  -16485.6389  0.2752 
   00025    0.4272  -16482.8893  0.2761 
