#=====================================================
# File created:        Mon-02-Mar-2026-at-08-23-16PM
# Size of lattice:     75x75
# Number of MC steps:  50
# Reduced temperature: 0.650
# Run time (s):        4.072577
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -5648.7604  0.2621 
   00001    0.6802   -8394.7941  0.2525 
   00002    0.6236  -10152.0500  0.2541 
   00003    0.5774  -11303.2329  0.2581 
   00004    0.5447  -12128.1802  0.2522 
   00005    0.5340  -12792.9474  0.2571 
   00006    0.5195  -13375.0320  0.2683 
   00007    0.4946  -13763.6941  0.2711 
   00008    0.4812  -14101.3578  0.2743 
   00009    0.4896  -14462.1441  0.2709 
   00010    0.4668  -14788.5798  0.2796 
   00011    0.4768  -14980.8665  0.2836 
   00012    0.4572  -15164.3751  0.2821 
   00013    0.4487  -15268.3174  0.2865 
   00014    0.4608  -15433.6264  0.2867 
   00015    0.4585  -15579.4283  0.2900 
   00016    0.4462  -15720.1558  0.2853 
   00017    0.4471  -15804.6113  0.2834 
   00018    0.4313  -15849.4118  0.2857 
   00019    0.4377  -15863.9603  0.2945 
   00020    0.4420  -15971.7204  0.3016 
   00021    0.4420  -15970.2443  0.2999 
   00022    0.4341  -16055.3850  0.3049 
   00023    0.4517  -16153.9153  0.3090 
   00024    0.4441  -16089.5085  0.3078 
   00025    0.4286  -16093.5039  0.3121 
   00026    0.4336  -16221.5423  0.3073 
   00027    0.4366  -16318.2984  0.3134 
   00028    0.4320  -16393.0004  0.3139 
   00029    0.4350  -16508.8285  0.3121 
   00030    0.4247  -16572.7094  0.3124 
   00031    0.4309  -16611.9358  0.3129 
   00032    0.4190  -16602.5324  0.3143 
   00033    0.4261  -16628.4993  0.3133 
   00034    0.4345  -16619.5575  0.3104 
   00035    0.4212  -16634.1933  0.3085 
   00036    0.4350  -16715.0224  0.3103 
   00037    0.4281  -16763.6557  0.3022 
   00038    0.4107  -16796.0703  0.3045 
   00039    0.4265  -16742.5710  0.3082 
   00040    0.4238  -16782.5199  0.3041 
   00041    0.4196  -16780.8953  0.3073 
   00042    0.4192  -16816.5142  0.3057 
   00043    0.4345  -16811.1894  0.3133 
   00044    0.4324  -17000.7772  0.3184 
   00045    0.4149  -16926.3915  0.3205 
   00046    0.4174  -17031.8133  0.3194 
   00047    0.4092  -16993.6519  0.3182 
   00048    0.4139  -17023.2527  0.3152 
   00049    0.4316  -17116.6331  0.3203 
   00050    0.4242  -17090.9224  0.3230 
