#=====================================================
# File created:        Tue-03-Mar-2026-at-06-19-35PM
# Size of lattice:     50x50
# Number of MC steps:  25
# Reduced temperature: 0.650
# Run time (s):        1.773427
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2533.1215  0.2544 
   00001    0.7004   -3955.7480  0.2749 
   00002    0.6152   -4758.6621  0.2774 
   00003    0.5556   -5301.0115  0.2824 
   00004    0.5408   -5650.7875  0.2863 
   00005    0.5252   -5978.1951  0.2852 
   00006    0.5012   -6302.2000  0.2831 
   00007    0.4828   -6456.9078  0.3072 
   00008    0.4856   -6555.2326  0.3115 
   00009    0.4820   -6689.2263  0.3096 
   00010    0.4676   -6764.6457  0.3135 
   00011    0.4424   -6904.5773  0.3108 
   00012    0.4704   -6968.6188  0.3086 
   00013    0.4436   -7076.3831  0.3084 
   00014    0.4508   -7127.0009  0.3072 
   00015    0.4336   -7166.5354  0.3188 
   00016    0.4208   -7245.4723  0.3152 
   00017    0.4244   -7259.0762  0.3027 
   00018    0.4288   -7197.6694  0.2950 
   00019    0.4188   -7235.1652  0.2901 
   00020    0.4416   -7291.7287  0.2916 
   00021    0.4316   -7362.8663  0.2984 
   00022    0.4136   -7399.2480  0.2964 
   00023    0.4432   -7437.2589  0.2911 
   00024    0.4356   -7437.7043  0.3038 
   00025    0.4196   -7484.1394  0.3060 
