#=====================================================
# File created:        Tue-17-Feb-2026-at-11-43-29AM
# Size of lattice:     10x10
# Number of MC steps:  50
# Reduced temperature: 0.650
# Run time (s):        0.032208
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -100.5663  0.2965 
   00001    0.7100    -162.2889  0.3374 
   00002    0.5600    -192.1878  0.3377 
   00003    0.5900    -200.9845  0.3600 
   00004    0.5600    -214.0159  0.3570 
   00005    0.5500    -210.4107  0.3811 
   00006    0.4600    -223.8323  0.3331 
   00007    0.4600    -248.9096  0.3345 
   00008    0.4100    -245.8025  0.3201 
   00009    0.4900    -256.8893  0.4082 
   00010    0.4500    -246.7553  0.4312 
   00011    0.4500    -253.0352  0.4607 
   00012    0.4700    -239.7411  0.4850 
   00013    0.5600    -242.0797  0.5007 
   00014    0.4200    -256.7335  0.5184 
   00015    0.4500    -267.2494  0.5627 
   00016    0.4600    -294.3238  0.5857 
   00017    0.5600    -292.6705  0.5470 
   00018    0.4700    -281.2487  0.5465 
   00019    0.5100    -286.4246  0.5191 
   00020    0.4500    -283.7617  0.4970 
   00021    0.5000    -272.5364  0.5202 
   00022    0.4300    -269.8096  0.5586 
   00023    0.4700    -293.5496  0.6112 
   00024    0.3900    -286.5046  0.5877 
   00025    0.3800    -292.5114  0.5595 
   00026    0.4200    -289.0884  0.6018 
   00027    0.4100    -294.2131  0.6238 
   00028    0.5600    -301.3065  0.6196 
   00029    0.4300    -304.1315  0.6244 
   00030    0.3100    -311.5063  0.6891 
   00031    0.4100    -323.1801  0.7321 
   00032    0.4000    -316.0770  0.7157 
   00033    0.4500    -307.0190  0.7223 
   00034    0.4200    -310.5681  0.7284 
   00035    0.4900    -319.1884  0.7548 
   00036    0.4000    -318.0648  0.7892 
   00037    0.3700    -312.4176  0.7804 
   00038    0.4300    -317.0575  0.7505 
   00039    0.3800    -306.1593  0.7157 
   00040    0.3700    -308.6930  0.7483 
   00041    0.4700    -299.8036  0.7302 
   00042    0.3600    -298.0739  0.7322 
   00043    0.4500    -299.3311  0.7293 
   00044    0.5100    -300.7652  0.7550 
   00045    0.3500    -294.8906  0.7374 
   00046    0.3700    -301.8776  0.7271 
   00047    0.4200    -291.1751  0.7084 
   00048    0.4900    -306.3862  0.7679 
   00049    0.4800    -300.1692  0.7724 
   00050    0.4500    -311.8834  0.7829 
