#=====================================================
# File created:        Tue-03-Mar-2026-at-06-20-19PM
# Size of lattice:     100x100
# Number of MC steps:  25
# Reduced temperature: 0.650
# Run time (s):        6.823615
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -9836.4743  0.2553 
   00001    0.7037  -15916.3612  0.2577 
   00002    0.6094  -19237.0901  0.2650 
   00003    0.5628  -21456.0896  0.2647 
   00004    0.5299  -22823.9519  0.2680 
   00005    0.5112  -23936.3683  0.2715 
   00006    0.4953  -24819.0670  0.2700 
   00007    0.4817  -25514.2902  0.2740 
   00008    0.4800  -26079.3896  0.2765 
   00009    0.4681  -26605.8219  0.2755 
   00010    0.4696  -27023.6734  0.2745 
   00011    0.4590  -27269.3554  0.2719 
   00012    0.4524  -27540.9583  0.2735 
   00013    0.4504  -27826.1237  0.2737 
   00014    0.4491  -28161.0232  0.2727 
   00015    0.4311  -28315.6150  0.2770 
   00016    0.4396  -28439.3721  0.2777 
   00017    0.4434  -28447.6686  0.2824 
   00018    0.4443  -28626.2263  0.2818 
   00019    0.4383  -28675.3060  0.2788 
   00020    0.4397  -28825.2933  0.2718 
   00021    0.4345  -29079.3800  0.2705 
   00022    0.4334  -29269.2592  0.2739 
   00023    0.4219  -29312.7682  0.2767 
   00024    0.4300  -29324.2137  0.2788 
   00025    0.4271  -29505.8206  0.2797 
