#=====================================================
# File created:        Tue-17-Feb-2026-at-11-43-58AM
# Size of lattice:     25x25
# Number of MC steps:  50
# Reduced temperature: 0.650
# Run time (s):        0.158236
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -589.7709  0.2834 
   00001    0.6928    -830.9963  0.2809 
   00002    0.6192   -1084.1324  0.2944 
   00003    0.6016   -1208.3585  0.2615 
   00004    0.5504   -1302.7757  0.2712 
   00005    0.5328   -1370.1149  0.2769 
   00006    0.4896   -1434.7074  0.2702 
   00007    0.5120   -1491.4491  0.2863 
   00008    0.4848   -1564.0827  0.2850 
   00009    0.5296   -1574.9686  0.2921 
   00010    0.4704   -1590.5542  0.2968 
   00011    0.4960   -1619.6986  0.3042 
   00012    0.4544   -1620.7961  0.3112 
   00013    0.4832   -1639.7539  0.3188 
   00014    0.4384   -1680.2783  0.3228 
   00015    0.4640   -1704.5120  0.3199 
   00016    0.4496   -1730.3200  0.3440 
   00017    0.4656   -1728.4564  0.3473 
   00018    0.4992   -1736.8231  0.3589 
   00019    0.4656   -1750.5499  0.3650 
   00020    0.4416   -1788.6880  0.3741 
   00021    0.3904   -1794.9742  0.3754 
   00022    0.4400   -1781.1808  0.3815 
   00023    0.4336   -1827.9849  0.3904 
   00024    0.4144   -1837.3619  0.3891 
   00025    0.4336   -1814.7219  0.3772 
   00026    0.4432   -1808.3991  0.3724 
   00027    0.4336   -1807.6728  0.3817 
   00028    0.4688   -1839.5201  0.3954 
   00029    0.4032   -1833.9550  0.4104 
   00030    0.4512   -1815.9700  0.4020 
   00031    0.4304   -1829.6199  0.4151 
   00032    0.4384   -1833.9473  0.4158 
   00033    0.4544   -1851.2844  0.4370 
   00034    0.4688   -1869.7755  0.4443 
   00035    0.4304   -1861.9646  0.4474 
   00036    0.4272   -1853.2042  0.4507 
   00037    0.4336   -1879.6980  0.4529 
   00038    0.3952   -1895.8044  0.4579 
   00039    0.4096   -1877.2581  0.4453 
   00040    0.4176   -1868.8199  0.4350 
   00041    0.4336   -1840.3785  0.4488 
   00042    0.4160   -1836.4489  0.4563 
   00043    0.4480   -1818.5735  0.4671 
   00044    0.4384   -1841.5578  0.4632 
   00045    0.4416   -1845.6578  0.4532 
   00046    0.4144   -1856.0355  0.4265 
   00047    0.4288   -1854.9836  0.4336 
   00048    0.4160   -1871.1382  0.4527 
   00049    0.4096   -1877.4751  0.4591 
   00050    0.3904   -1870.5428  0.4560 
